"aesthetic","day_diff_med","aes_wiki_link","rank","main_img"
"Tropical",0.00562891113892365,"https://aesthetics.fandom.com/wiki/Tropical",48,"https://static.wikia.nocookie.net/aesthetics/images/2/2d/Wp1895640.png"
"Techwear",0.00559350559350559,"https://aesthetics.fandom.com/wiki/Techwear",49,"https://static.wikia.nocookie.net/aesthetics/images/d/d6/Techwear.png"
"Goblincore",0.00558934251463779,"https://aesthetics.fandom.com/wiki/Goblincore",50,"https://static.wikia.nocookie.net/aesthetics/images/0/03/Images-3.jpg"
"Halloween",0.00557603819223948,"https://aesthetics.fandom.com/wiki/Halloween",51,"https://static.wikia.nocookie.net/aesthetics/images/3/3e/Original_d1a6a100-9f57-436f-8655-1865368290d2_IMG_20221008_190306909_%282%29.jpg"
"Post-Punk",0.0054946682464455,"https://aesthetics.fandom.com/wiki/Post-Punk",52,"https://static.wikia.nocookie.net/aesthetics/images/2/24/Unknown%2Bpleasures.png"
"Minimalism",0.00546505495583462,"https://aesthetics.fandom.com/wiki/Minimalism",53,"https://static.wikia.nocookie.net/aesthetics/images/1/1b/White_Minimal_Bedroom.jpg"
"Cybergrunge",0.00546118115461181,"https://aesthetics.fandom.com/wiki/Cybergrunge",54,"https://static.wikia.nocookie.net/aesthetics/images/b/ba/Baba9671971d74faf715a3e6e1015dfa.jpg"
"Alternative",0.00541614788342168,"https://aesthetics.fandom.com/wiki/Alternative",55,"https://static.wikia.nocookie.net/aesthetics/images/7/74/The_Velvet_Underground.jpg"
"Skater",0.0053133052859667,"https://aesthetics.fandom.com/wiki/Skater",56,"https://static.wikia.nocookie.net/aesthetics/images/e/e1/Skate-girl-oversized-shirt.jpg"
"Baroque",0.00524488393777298,"https://aesthetics.fandom.com/wiki/Baroque",57,"https://static.wikia.nocookie.net/aesthetics/images/2/23/The_Apotheosis_of_Hercules%2C_in_the_Hercules_Salon%2C_Palace_of_Versailles%2C_Versailles%2C_France%2C_by_Fran%C3%A7ois_Lemoyne%2C_1731-1736%2C_fresco.jpeg"
"Babygirl",0.00510642417949942,"https://aesthetics.fandom.com/wiki/Babygirl",58,"https://static.wikia.nocookie.net/aesthetics/images/5/5f/Babygirl.jpg"
"Pride flags",0.00510276308508037,"https://aesthetics.fandom.com/wiki/Pride_flags",59,"https://static.wikia.nocookie.net/aesthetics/images/1/1e/Rainbow.png"
"Kidcore",0.00494752744663311,"https://aesthetics.fandom.com/wiki/Kidcore",60,"https://static.wikia.nocookie.net/aesthetics/images/f/fc/Gymboree-Store.jpg"
"Teddies",0.00491389205067447,"https://aesthetics.fandom.com/wiki/Teddies",61,"https://static.wikia.nocookie.net/aesthetics/images/8/8e/Teddy-2.jpg"
"Dreamy",0.00481323319628389,"https://aesthetics.fandom.com/wiki/Dreamy",62,"https://static.wikia.nocookie.net/aesthetics/images/3/3b/9k%3DClouds.jpeg"
"Peach",0.00480174759727945,"https://aesthetics.fandom.com/wiki/Peach",63,"https://static.wikia.nocookie.net/aesthetics/images/8/88/%D0%97%D0%B0%D0%B3%D1%80%D1%83%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5.jpg"
"Classicism",0.00479619065145381,"https://aesthetics.fandom.com/wiki/Classicism",64,"https://static.wikia.nocookie.net/aesthetics/images/d/d3/340px-Rome_Fontana_dei_Quattro_Fiumi_01.jpg"
"Lo-Fi",0.00479619065145381,"https://aesthetics.fandom.com/wiki/Lo-Fi",65,"https://static.wikia.nocookie.net/aesthetics/images/5/56/Wp2337007.jpg"
"Christmas",0.0046506940874036,"https://aesthetics.fandom.com/wiki/Christmas",66,"https://static.wikia.nocookie.net/aesthetics/images/6/6b/Christmas.jpg"
"Honeycore",0.00458715596330275,"https://aesthetics.fandom.com/wiki/Honeycore",67,"https://static.wikia.nocookie.net/aesthetics/images/a/a0/Herb-Infused_Honey.jpg"
"Anglocore",0.00455981324049775,"https://aesthetics.fandom.com/wiki/Anglocore",68,"https://static.wikia.nocookie.net/aesthetics/images/e/e9/Anglocore.jpg"
"Avant-garde",0.00454612283593906,"https://aesthetics.fandom.com/wiki/Avant-garde",69,"https://static.wikia.nocookie.net/aesthetics/images/7/73/Red_and_blue_chair%2C_designed_by_Gerrit_Rietveld%2C_executed_by_G._van_de_Groenekan%2C_1918-1923.jpeg"
"Diner",0.00453886693017128,"https://aesthetics.fandom.com/wiki/Diner",70,"https://static.wikia.nocookie.net/aesthetics/images/c/c2/Diner.jpg"
"Angelcore",0.00453807689154849,"https://aesthetics.fandom.com/wiki/Angelcore",71,"https://static.wikia.nocookie.net/aesthetics/images/3/36/Angel.jpeg"
"Princecore",0.00445214086357644,"https://aesthetics.fandom.com/wiki/Princecore",72,"https://static.wikia.nocookie.net/aesthetics/images/6/6a/Prince-crown-white-flowers.jpg"
"Winter",0.004381702555709,"https://aesthetics.fandom.com/wiki/Winter",73,"https://static.wikia.nocookie.net/aesthetics/images/a/af/Winter2.jpg"
"Summer",0.00433281782824973,"https://aesthetics.fandom.com/wiki/Summer",74,"https://static.wikia.nocookie.net/aesthetics/images/9/98/Summer2.jpg"
