"","aesthetic","etsy_results","date"
"1","80s Heartthrob",NA,"2023-07-31"
"2","1950s Suburbia",NA,"2023-07-31"
"3","2000s Autumn",5,"2023-07-31"
"4","2010s Internet",NA,"2023-07-31"
"5","2014 Girly",1,"2023-07-31"
"6","2014 Tumblr",4,"2023-07-31"
"7","2020 Alt",161,"2023-07-31"
"8","2K1",NA,"2023-07-31"
"9","2K7",NA,"2023-07-31"
"10","2 Tone",722,"2023-07-31"
"11","80s Ballroom",NA,"2023-07-31"
"12","Abstract Tech",1133,"2023-07-31"
"13","Acid Pixie",NA,"2023-07-31"
"14","Acidwave",NA,"2023-07-31"
"15","Acubi",5,"2023-07-31"
"16","Adventurecore",12,"2023-07-31"
"17","Adventure Pulp",1,"2023-07-31"
"18","Aestheticism",473262,"2023-07-31"
"19","Aetherpunk",NA,"2023-07-31"
"20","Afro-Victorian",NA,"2023-07-31"
"21","Afrofuturism",7,"2023-07-31"
"22","Afropunk",NA,"2023-07-31"
"23","After Hours",101,"2023-07-31"
"24","Agropeople",NA,"2023-07-31"
"25","Ah Beng",NA,"2023-07-31"
"26","Alien",806,"2023-07-31"
"27","Alternative",1755,"2023-07-31"
"28","Amateur Photography",NA,"2023-07-31"
"29","American Pioneers",1,"2023-07-31"
"30","American Revolution",5,"2023-07-31"
"31","American Thanksgiving",122,"2023-07-31"
"32","American Tourist Traps",NA,"2023-07-31"
"33","Americana",239,"2023-07-31"
"34","Analog Horror",NA,"2023-07-31"
"35","Ancient Egypt",209,"2023-07-31"
"36","Androgynous",32,"2023-07-31"
"37","Angelcore",184,"2023-07-31"
"38","Anglo Gothic",1,"2023-07-31"
"39","Anglocore",NA,"2023-07-31"
"40","Angura",NA,"2023-07-31"
"41","Animecore",12,"2023-07-31"
"42","Anoncore",NA,"2023-07-31"
"43","Anti-Fashion",NA,"2023-07-31"
"44","Antique Grunge",59,"2023-07-31"
"45","Arabfunny",NA,"2023-07-31"
"46","Arcade",363,"2023-07-31"
"47","Arcadecore",NA,"2023-07-31"
"48","Art Academia",13160,"2023-07-31"
"49","Art Deco",29481,"2023-07-31"
"50","Art Hoe",125,"2023-07-31"
"51","Art Nouveau",4506,"2023-07-31"
"52","Artcore",3,"2023-07-31"
"53","Artificial Nature",17,"2023-07-31"
"54","Arts and Crafts Movement",65,"2023-07-31"
"55","Asian Baby Girl",11,"2023-07-31"
"56","Athlete",108,"2023-07-31"
"57","Atompunk",2,"2023-07-31"
"58","Auroracore",NA,"2023-07-31"
"59","Australian Outback",4,"2023-07-31"
"60","Australiana",4,"2023-07-31"
"61","Autumn",6869,"2023-07-31"
"62","Autumn Academia",392,"2023-07-31"
"63","Avant-garde",126,"2023-07-31"
"64","Avant Apocalypse",NA,"2023-07-31"
"65","Aztec Empire",1,"2023-07-31"
"66","Babycore",5,"2023-07-31"
"67","Babygirl",20,"2023-07-31"
"68","Back-to-School",22,"2023-07-31"
"69","Baddie",545,"2023-07-31"
"70","Bakala",NA,"2023-07-31"
"71","Ballet Academia",22,"2023-07-31"
"72","Balletcore",68,"2023-07-31"
"73","Baltic Violence Tumblr",NA,"2023-07-31"
"74","Barbiecore",273,"2023-07-31"
"75","Bardcore",NA,"2023-07-31"
"76","Baroque",1059,"2023-07-31"
"77","Basic Girl",79,"2023-07-31"
"78","Bastardcore",NA,"2023-07-31"
"79","Bauhaus",2127,"2023-07-31"
"80","BDSM",122,"2023-07-31"
"81","Beach Bunny",15,"2023-07-31"
"82","Beach Day",1694,"2023-07-31"
"83","Beach Girl",2277,"2023-07-31"
"84","Beatnik",3,"2023-07-31"
"85","Belgian Popcorn",NA,"2023-07-31"
"86","Biker",586,"2023-07-31"
"87","Bimbocore",12,"2023-07-31"
"88","Biopunk",1,"2023-07-31"
"89","Bizarro Fiction",NA,"2023-07-31"
"90","Black-Holed Meme",NA,"2023-07-31"
"91","Black Metal",2634,"2023-07-31"
"92","Bleak Crush",NA,"2023-07-31"
"93","Blokecore",NA,"2023-07-31"
"94","Blokette",NA,"2023-07-31"
"95","Bloomcore",65,"2023-07-31"
"96","Blue Night",1509,"2023-07-31"
"97","B-Movie Horror",3,"2023-07-31"
"98","Bodikon",NA,"2023-07-31"
"99","Bohemian",45009,"2023-07-31"
"100","Bombardier",NA,"2023-07-31"
