"","aesthetic","etsy_results","date"
"1","80s Heartthrob",NA,"2023-07-13"
"2","1950s Suburbia",NA,"2023-07-13"
"3","2000s Autumn",2,"2023-07-13"
"4","2010s Internet",NA,"2023-07-13"
"5","2014 Girly",1,"2023-07-13"
"6","2014 Tumblr",5,"2023-07-13"
"7","2020 Alt",161,"2023-07-13"
"8","2K1",NA,"2023-07-13"
"9","2K7",NA,"2023-07-13"
"10","2 Tone",703,"2023-07-13"
"11","80s Ballroom",NA,"2023-07-13"
"12","Abstract Tech",1121,"2023-07-13"
"13","Acid Pixie",NA,"2023-07-13"
"14","Acidwave",NA,"2023-07-13"
"15","Acubi",7,"2023-07-13"
"16","Adventure Pulp",1,"2023-07-13"
"17","Adventurecore",13,"2023-07-13"
"18","Aetherpunk",NA,"2023-07-13"
"19","Afro-Victorian",NA,"2023-07-13"
"20","Afrofuturism",7,"2023-07-13"
"21","After Hours",98,"2023-07-13"
"22","Agropeople",NA,"2023-07-13"
"23","Ah Beng",NA,"2023-07-13"
"24","Alien",798,"2023-07-13"
"25","Alternative",1799,"2023-07-13"
"26","Amateur Photography",NA,"2023-07-13"
"27","American Pioneers",1,"2023-07-13"
"28","American Revolution",6,"2023-07-13"
"29","American Thanksgiving",95,"2023-07-13"
"30","American Tourist Traps",NA,"2023-07-13"
"31","Americana",194,"2023-07-13"
"32","Analog Horror",NA,"2023-07-13"
"33","Ancient Egypt",196,"2023-07-13"
"34","Androgynous",27,"2023-07-13"
"35","Angelcore",184,"2023-07-13"
"36","Anglo Gothic",NA,"2023-07-13"
"37","Anglocore",NA,"2023-07-13"
"38","Angura",NA,"2023-07-13"
"39","Animecore",15,"2023-07-13"
"40","Anoncore",NA,"2023-07-13"
"41","Anti-Fashion",NA,"2023-07-13"
"42","Antique Grunge",55,"2023-07-13"
"43","Arabfunny",NA,"2023-07-13"
"44","Arcade",353,"2023-07-13"
"45","Arcadecore",NA,"2023-07-13"
"46","Art Academia",12705,"2023-07-13"
"47","Art Deco",28141,"2023-07-13"
"48","Art Hoe",112,"2023-07-13"
"49","Art Nouveau",4263,"2023-07-13"
"50","Artcore",4,"2023-07-13"
"51","Artificial Nature",12,"2023-07-13"
"52","Arts and Crafts Movement",63,"2023-07-13"
"53","Asian Baby Girl",11,"2023-07-13"
"54","Athlete",102,"2023-07-13"
"55","Atompunk",2,"2023-07-13"
"56","Auroracore",NA,"2023-07-13"
"57","Australian Outback",4,"2023-07-13"
"58","Australiana",4,"2023-07-13"
"59","Autumn",5997,"2023-07-13"
"60","Autumn Academia",331,"2023-07-13"
"61","Avant-garde",94,"2023-07-13"
"62","Avant Apocalypse",NA,"2023-07-13"
"63","B-Movie Horror",3,"2023-07-13"
"64","BDSM",125,"2023-07-13"
"65","Babycore",4,"2023-07-13"
"66","Babygirl",23,"2023-07-13"
"67","Back-to-School",20,"2023-07-13"
"68","Baddie",536,"2023-07-13"
"69","Bakala",NA,"2023-07-13"
"70","Ballet Academia",22,"2023-07-13"
"71","Balletcore",66,"2023-07-13"
"72","Baltic Violence Tumblr",NA,"2023-07-13"
"73","Barbiecore",211,"2023-07-13"
"74","Bardcore",NA,"2023-07-13"
"75","Baroque",939,"2023-07-13"
"76","Bastardcore",NA,"2023-07-13"
"77","Bauhaus",2101,"2023-07-13"
"78","Beach Bunny",15,"2023-07-13"
"79","Beach Day",1734,"2023-07-13"
"80","Beach Girl",2042,"2023-07-13"
"81","Beatnik",3,"2023-07-13"
"82","Biker",581,"2023-07-13"
"83","Bimbocore",17,"2023-07-13"
"84","Biopunk",2,"2023-07-13"
"85","Bizarro Fiction",NA,"2023-07-13"
"86","Black-Holed Meme",NA,"2023-07-13"
"87","Black Metal",2591,"2023-07-13"
"88","Bleak Crush",NA,"2023-07-13"
"89","Blokecore",NA,"2023-07-13"
"90","Blokette",NA,"2023-07-13"
"91","Bloomcore",66,"2023-07-13"
"92","Blue Night",1387,"2023-07-13"
"93","Bodikon",NA,"2023-07-13"
"94","Bohemian",43855,"2023-07-13"
"95","Bombardier",NA,"2023-07-13"
"96","Bookstore Girl",10,"2023-07-13"
"97","Bosozoku",4,"2023-07-13"
"98","Boujee",1056,"2023-07-13"
"99","Boy Next Door",NA,"2023-07-13"
"100","BrazilianPopBar",NA,"2023-07-13"
