"","aesthetic","etsy_results","date"
"1","Summer",5483,"2023-03-09"
"2","Cottagecore",15702,"2023-03-09"
"3","Cottagegore",10,"2023-03-09"
"4","Hippie",8100,"2023-03-09"
"5","E-Girl",402,"2023-03-09"
"6","Skater",440,"2023-03-09"
"7","Fairycore",2578,"2023-03-09"
"8","Minimalism",15697,"2023-03-09"
"9","Spring",5121,"2023-03-09"
"10","Alternative",1883,"2023-03-09"
"11","Bohemian",35840,"2023-03-09"
"12","Kidcore",451,"2023-03-09"
"13","Lounge",463,"2023-03-09"
"14","E-Boy",26,"2023-03-09"
"15","Baddie",390,"2023-03-09"
"16","Pearly",18,"2023-03-09"
"17","Hipster",545,"2023-03-09"
"18","Western",2944,"2023-03-09"
"19","Babygirl",19,"2023-03-09"
"20","Halloween",9475,"2023-03-09"
"21","Decora",178,"2023-03-09"
"22","Dollette",140,"2023-03-09"
"23","Christmas",34017,"2023-03-09"
"24","Whimsigothic",94,"2023-03-09"
"25","Stoner",739,"2023-03-09"
"26","Mallgoth",1,"2023-03-09"
"27","Playboy",76,"2023-03-09"
"28","Biker",241,"2023-03-09"
"29","Dreamy",1914,"2023-03-09"
"30","Vampire",912,"2023-03-09"
"31","Regency",204,"2023-03-09"
"32","Avant-garde",111,"2023-03-09"
"33","Goblincore",2540,"2023-03-09"
"34","Balletcore",61,"2023-03-09"
"35","Maximalism",374,"2023-03-09"
"36","Psychedelica",4,"2023-03-09"
"37","Scoutcore",NA,"2023-03-09"
"38","Mermaid",527,"2023-03-09"
"39","Peach",1286,"2023-03-09"
"40","Angelcore",139,"2023-03-09"
"41","Comfy/Cozy",16,"2023-03-09"
"42","Gorpcore",10,"2023-03-09"
"43","Gorecore",2,"2023-03-09"
"44","Anglocore",NA,"2023-03-09"
"45","Hip-Hop",3866,"2023-03-09"
"46","FantasY2K",NA,"2023-03-09"
"47","Lovecore",208,"2023-03-09"
"48","Country",13028,"2023-03-09"
"49","Cyberpunk",1215,"2023-03-09"
"50","Teddies",349,"2023-03-09"
"51","VSCO",2643,"2023-03-09"
"52","Pin-up",249,"2023-03-09"
"53","Earthcore",17,"2023-03-09"
"54","Back-to-School",8,"2023-03-09"
"55","Cybergoth",10,"2023-03-09"
"56","Pride flags",407,"2023-03-09"
"57","Tropical",13637,"2023-03-09"
"58","Medieval",475,"2023-03-09"
"59","McBling",15,"2023-03-09"
"60","Princesscore",91,"2023-03-09"
"61","Softie",11,"2023-03-09"
"62","Winter",3923,"2023-03-09"
"63","Princecore",NA,"2023-03-09"
"64","Post-Punk",26,"2023-03-09"
"65","Kinderwhore",8,"2023-03-09"
"66","Steampunk",1077,"2023-03-09"
"67","Steelpunk",NA,"2023-03-09"
"68","Vaporwave",2306,"2023-03-09"
"69","Gyaru",11,"2023-03-09"
"70","Royalcore",156,"2023-03-09"
"71","Weirdcore",255,"2023-03-09"
"72","Milk",598,"2023-03-09"
"73","Diner",128,"2023-03-09"
"74","Thrasher",7,"2023-03-09"
"75","Alien",688,"2023-03-09"
"76","Tomboy",13,"2023-03-09"
"77","Drain",31,"2023-03-09"
"78","Dullcore",NA,"2023-03-09"
"79","Lo-Fi",994,"2023-03-09"
"80","Androgynous",22,"2023-03-09"
"81","Sanriocore",14,"2023-03-09"
"82","Biopunk",NA,"2023-03-09"
"83","Clowncore",78,"2023-03-09"
"84","2-Tone",8,"2023-03-09"
"85","Barbiecore",94,"2023-03-09"
"86","Cutecore",25,"2023-03-09"
"87","Cybergrunge",2,"2023-03-09"
"88","Boujee",969,"2023-03-09"
"89","Furry",175,"2023-03-09"
"90","Rockabilly",64,"2023-03-09"
"91","Cleancore",NA,"2023-03-09"
"92","Y2K",10779,"2023-03-09"
"93","Gothcore",77,"2023-03-09"
"94","Celtic",190,"2023-03-09"
"95","Scrapbook",3546,"2023-03-09"
"96","Techwear",16,"2023-03-09"
"97","Athlete",85,"2023-03-09"
"98","After Hours",107,"2023-03-09"
"99","Baroque",715,"2023-03-09"
"100","Nymphet",14,"2023-03-09"
