"","aesthetic","etsy_results","date"
"1","Y2K",10580,"2023-03-01"
"2","Summer",5385,"2023-03-01"
"3","Cottagecore",15334,"2023-03-01"
"4","Hippie",8011,"2023-03-01"
"5","Cottagegore",9,"2023-03-01"
"6","E-Girl",401,"2023-03-01"
"7","Skater",372,"2023-03-01"
"8","Fairycore",2518,"2023-03-01"
"9","Minimalism",15381,"2023-03-01"
"10","Spring",4634,"2023-03-01"
"11","Alternative",1756,"2023-03-01"
"12","Bohemian",35053,"2023-03-01"
"13","Kidcore",435,"2023-03-01"
"14","Lounge",381,"2023-03-01"
"15","E-Boy",24,"2023-03-01"
"16","Baddie",395,"2023-03-01"
"17","Pearly",18,"2023-03-01"
"18","Hipster",518,"2023-03-01"
"19","Babygirl",19,"2023-03-01"
"20","Western",2726,"2023-03-01"
"21","Halloween",9030,"2023-03-01"
"22","Decora",192,"2023-03-01"
"23","Christmas",33276,"2023-03-01"
"24","Dollette",138,"2023-03-01"
"25","Stoner",715,"2023-03-01"
"26","Whimsigothic",77,"2023-03-01"
"27","Playboy",84,"2023-03-01"
"28","Mallgoth",1,"2023-03-01"
"29","Biker",206,"2023-03-01"
"30","Vampire",948,"2023-03-01"
"31","Dreamy",1860,"2023-03-01"
"32","Regency",204,"2023-03-01"
"33","Avant-garde",101,"2023-03-01"
"34","Goblincore",2507,"2023-03-01"
"35","Psychedelica",4,"2023-03-01"
"36","Maximalism",354,"2023-03-01"
"37","Balletcore",59,"2023-03-01"
"38","Scoutcore",NA,"2023-03-01"
"39","Mermaid",507,"2023-03-01"
"40","Peach",1266,"2023-03-01"
"41","Angelcore",139,"2023-03-01"
"42","Anglocore",NA,"2023-03-01"
"43","Comfy/Cozy",16,"2023-03-01"
"44","Gorpcore",9,"2023-03-01"
"45","Gorecore",2,"2023-03-01"
"46","Hip-Hop",3714,"2023-03-01"
"47","Country",12809,"2023-03-01"
"48","Lovecore",209,"2023-03-01"
"49","Teddies",337,"2023-03-01"
"50","Pin-up",240,"2023-03-01"
"51","Princesscore",92,"2023-03-01"
"52","Back-to-School",10,"2023-03-01"
"53","Medieval",458,"2023-03-01"
"54","Pride flags",343,"2023-03-01"
"55","Tropical",13056,"2023-03-01"
"56","Princecore",NA,"2023-03-01"
"57","VSCO",2580,"2023-03-01"
"58","Earthcore",19,"2023-03-01"
"59","Winter",4087,"2023-03-01"
"60","Cyberpunk",1045,"2023-03-01"
"61","McBling",12,"2023-03-01"
"62","Softie",12,"2023-03-01"
"63","Kinderwhore",8,"2023-03-01"
"64","Post-Punk",27,"2023-03-01"
"65","Steampunk",1013,"2023-03-01"
"66","Cybergoth",NA,"2023-03-01"
"67","Royalcore",151,"2023-03-01"
"68","Steelpunk",NA,"2023-03-01"
"69","Vaporwave",2221,"2023-03-01"
"70","Gyaru",11,"2023-03-01"
"71","Milk",581,"2023-03-01"
"72","Diner",117,"2023-03-01"
"73","Weirdcore",232,"2023-03-01"
"74","Tomboy",12,"2023-03-01"
"75","Thrasher",6,"2023-03-01"
"76","Dullcore",NA,"2023-03-01"
"77","Alien",599,"2023-03-01"
"78","Drain",30,"2023-03-01"
"79","Sanriocore",14,"2023-03-01"
"80","Androgynous",20,"2023-03-01"
"81","Clowncore",66,"2023-03-01"
"82","2-Tone",7,"2023-03-01"
"83","Furry",170,"2023-03-01"
"84","Cybergrunge",2,"2023-03-01"
"85","Boujee",964,"2023-03-01"
"86","Barbiecore",99,"2023-03-01"
"87","Baroque",724,"2023-03-01"
"88","Rockabilly",59,"2023-03-01"
"89","Cleancore",NA,"2023-03-01"
"90","Cutecore",19,"2023-03-01"
"91","Gothcore",68,"2023-03-01"
"92","Athlete",79,"2023-03-01"
"93","Celtic",182,"2023-03-01"
"94","Techwear",15,"2023-03-01"
"95","Scrapbook",3595,"2023-03-01"
"96","Lo-Fi",960,"2023-03-01"
"97","After Hours",96,"2023-03-01"
"98","Naturecore",123,"2023-03-01"
"99","Otaku",110,"2023-03-01"
"100","Nymphet",14,"2023-03-01"
