"","aesthetic","depop_results","date"
"1","80s heart-throb",NA,"2023-07-08"
"2","1950s Suburbia",NA,"2023-07-08"
"3","2000s Autumn",NA,"2023-07-08"
"4","2010s Internet",NA,"2023-07-08"
"5","2014 Girly",NA,"2023-07-08"
"6","2014 Tumblr",NA,"2023-07-08"
"7","2020 Alt",NA,"2023-07-08"
"8","2K1",NA,"2023-07-08"
"9","2K7",NA,"2023-07-08"
"10","2 Tone",NA,"2023-07-08"
"11","80s Ballroom",NA,"2023-07-08"
"12","Abstract Tech",NA,"2023-07-08"
"13","Acid Pixie",NA,"2023-07-08"
"14","Acidwave",NA,"2023-07-08"
"15","Acubi",NA,"2023-07-08"
"16","Adventure Pulp",NA,"2023-07-08"
"17","Adventurecore",NA,"2023-07-08"
"18","Aetherpunk",NA,"2023-07-08"
"19","Afro-Victorian",NA,"2023-07-08"
"20","Afrofuturism",NA,"2023-07-08"
"21","After Hours",NA,"2023-07-08"
"22","Agropeople",NA,"2023-07-08"
"23","Ah Beng",NA,"2023-07-08"
"24","Alien",NA,"2023-07-08"
"25","Alternative",NA,"2023-07-08"
"26","Amateur Photography",NA,"2023-07-08"
"27","American Pioneers",NA,"2023-07-08"
"28","American Revolution",NA,"2023-07-08"
"29","American Thanksgiving",NA,"2023-07-08"
"30","American Tourist Traps",NA,"2023-07-08"
"31","Americana",NA,"2023-07-08"
"32","Analog Horror",NA,"2023-07-08"
"33","Ancient Egypt",NA,"2023-07-08"
"34","Androgynous",NA,"2023-07-08"
"35","Angelcore",NA,"2023-07-08"
"36","Anglo Gothic",NA,"2023-07-08"
"37","Anglocore",NA,"2023-07-08"
"38","Angura",NA,"2023-07-08"
"39","Animecore",NA,"2023-07-08"
"40","Anoncore",NA,"2023-07-08"
"41","Anti-Fashion",NA,"2023-07-08"
"42","Antique Grunge",NA,"2023-07-08"
"43","Arabfunny",NA,"2023-07-08"
"44","Arcade",NA,"2023-07-08"
"45","Arcadecore",NA,"2023-07-08"
"46","Art Academia",NA,"2023-07-08"
"47","Art Deco",NA,"2023-07-08"
"48","Art Hoe",NA,"2023-07-08"
"49","Art Nouveau",NA,"2023-07-08"
"50","Artcore",NA,"2023-07-08"
"51","Artificial Nature",NA,"2023-07-08"
"52","Arts and Crafts Movement",NA,"2023-07-08"
"53","Asian Baby Girl",NA,"2023-07-08"
"54","Athlete",NA,"2023-07-08"
"55","Atompunk",NA,"2023-07-08"
"56","Auroracore",NA,"2023-07-08"
"57","Australian Outback",NA,"2023-07-08"
"58","Australiana",NA,"2023-07-08"
"59","Autumn",NA,"2023-07-08"
"60","Autumn Academia",NA,"2023-07-08"
"61","Avant-garde",NA,"2023-07-08"
"62","Avant Apocalypse",NA,"2023-07-08"
"63","B-Movie Horror",NA,"2023-07-08"
"64","BDSM",NA,"2023-07-08"
"65","Babycore",NA,"2023-07-08"
"66","Babygirl",NA,"2023-07-08"
"67","Back-to-School",NA,"2023-07-08"
"68","Baddie",NA,"2023-07-08"
"69","Bakala",NA,"2023-07-08"
"70","Ballet Academia",NA,"2023-07-08"
"71","Balletcore",NA,"2023-07-08"
"72","Baltic Violence Tumblr",NA,"2023-07-08"
"73","Barbiecore",NA,"2023-07-08"
"74","Bardcore",NA,"2023-07-08"
"75","Baroque",NA,"2023-07-08"
"76","Bastardcore",NA,"2023-07-08"
"77","Bauhaus",NA,"2023-07-08"
"78","Beach Bunny",NA,"2023-07-08"
"79","Beach Day",NA,"2023-07-08"
"80","Beach Girl",NA,"2023-07-08"
"81","Beatnik",NA,"2023-07-08"
"82","Biker",NA,"2023-07-08"
"83","Bimbocore",NA,"2023-07-08"
"84","Biopunk",NA,"2023-07-08"
"85","Bizarro Fiction",NA,"2023-07-08"
"86","Black-Holed Meme",NA,"2023-07-08"
"87","Black Metal",NA,"2023-07-08"
"88","Bleak Crush",NA,"2023-07-08"
"89","Blokecore",NA,"2023-07-08"
"90","Blokette",NA,"2023-07-08"
"91","Bloomcore",NA,"2023-07-08"
"92","Blue Night",NA,"2023-07-08"
"93","Bodikon",NA,"2023-07-08"
"94","Bohemian",NA,"2023-07-08"
"95","Bombacore",NA,"2023-07-08"
"96","Bookstore Girl",NA,"2023-07-08"
"97","Bosozoku",NA,"2023-07-08"
"98","Boujee",NA,"2023-07-08"
"99","Boy Next Door",NA,"2023-07-08"
"100","BrazilianPopBar",NA,"2023-07-08"
"101","Breakcore",NA,"2023-07-08"
"102","Britpop",NA,"2023-07-08"
"103","Bro",NA,"2023-07-08"
"104","Bronzepunk",NA,"2023-07-08"
"105","Bubble Bujo",NA,"2023-07-08"
"106","Bubble Goth",NA,"2023-07-08"
"107","Bubblegum Bitch",NA,"2023-07-08"
"108","Bubblegum Dance",NA,"2023-07-08"
"109","Bubblegum Witch",NA,"2023-07-08"
"110","Busukawaii",NA,"2023-07-08"
"111","Cabincore",NA,"2023-07-08"
"112","Cagole",NA,"2023-07-08"
"113","Camp",NA,"2023-07-08"
"114","Campcore",NA,"2023-07-08"
"115","Cargopunk",NA,"2023-07-08"
"116","Carnivalcore",NA,"2023-07-08"
"117","Cartelcore",NA,"2023-07-08"
"118","Cartooncore",NA,"2023-07-08"
"119","Casino",NA,"2023-07-08"
"120","Cassette Futurism",NA,"2023-07-08"
"121","Celtic",NA,"2023-07-08"
"122","Changelingcore",NA,"2023-07-08"
"123","Chaotic Academia",NA,"2023-07-08"
"124","Chav",NA,"2023-07-08"
"125","Cheiron Crush",NA,"2023-07-08"
"126","Cherry Emoji Twitter",NA,"2023-07-08"
"127","Chic Modernist",NA,"2023-07-08"
"128","Chicano Lowrider",NA,"2023-07-08"
"129","Cholo",NA,"2023-07-08"
"130","Choni",NA,"2023-07-08"
"131","Christcore",NA,"2023-07-08"
"132","Christian Girl Autumn",NA,"2023-07-08"
"133","Christmas",NA,"2023-07-08"
"134","Chromecore",NA,"2023-07-08"
"135","Chunyu",NA,"2023-07-08"
"136","City Pop",NA,"2023-07-08"
"137","Classic Academia",NA,"2023-07-08"
"138","Classicism",NA,"2023-07-08"
"139","Classic Lolita",NA,"2023-07-08"
"140","Cleancore",NA,"2023-07-08"
"141","Clean Girl",NA,"2023-07-08"
"142","Clockpunk",NA,"2023-07-08"
"143","Clowncore",NA,"2023-07-08"
"144","Club",NA,"2023-07-08"
"145","Club Kids",NA,"2023-07-08"
"146","Cluttercore",NA,"2023-07-08"
"147","Coastal Grandmother",NA,"2023-07-08"
"148","Coffee House/Cafe",NA,"2023-07-08"
"149","Coffinwood",NA,"2023-07-08"
"150","Comfy/Cozy",NA,"2023-07-08"
"151","Color Pop",NA,"2023-07-08"
"152","Common White Girl",NA,"2023-07-08"
"153","Constructivism",NA,"2023-07-08"
"154","Corporate",NA,"2023-07-08"
"155","Corporate Grunge",NA,"2023-07-08"
"156","Corporate Memphis",NA,"2023-07-08"
"157","Corporate Punk",NA,"2023-07-08"
"158","Cottagecore",NA,"2023-07-08"
"159","Cottagegore",NA,"2023-07-08"
"160","Coquette",NA,"2023-07-08"
"161","Coquette Academia",NA,"2023-07-08"
"162","Country",NA,"2023-07-08"
"163","Cozy Childhood Hideaway",NA,"2023-07-08"
"164","C-Pop",NA,"2023-07-08"
"165","Crackhead",NA,"2023-07-08"
"166","Craftcore",NA,"2023-07-08"
"167","Cripplepunk",NA,"2023-07-08"
"168","Crowcore",NA,"2023-07-08"
"169","Crustpunk",NA,"2023-07-08"
"170","Cryptid Academia",NA,"2023-07-08"
"171","Cryptidcore",NA,"2023-07-08"
"172","Cubism",NA,"2023-07-08"
"173","Cuddle Party",NA,"2023-07-08"
"174","Cultcore",NA,"2023-07-08"
"175","Cult Party Kei",NA,"2023-07-08"
"176","Cutecore",NA,"2023-07-08"
"177","Cyberdelic",NA,"2023-07-08"
"178","Cyber Fairy Grunge",NA,"2023-07-08"
"179","Cyberghetto",NA,"2023-07-08"
"180","Cybergoth",NA,"2023-07-08"
"181","Cybergrunge",NA,"2023-07-08"
"182","CyberneticPunk",NA,"2023-07-08"
"183","Cyberparadism",NA,"2023-07-08"
"184","Cyberpop",NA,"2023-07-08"
"185","Cyberprep",NA,"2023-07-08"
"186","Cyberpunk",NA,"2023-07-08"
"187","Cyberspace Webrooms",NA,"2023-07-08"
"188","Cyber Stylin",NA,"2023-07-08"
"189","Cybervillain",NA,"2023-07-08"
"190","Danish Pastel",NA,"2023-07-08"
"191","Dank Meme Voyage",NA,"2023-07-08"
"192","Dark Academia",NA,"2023-07-08"
"193","Darkcore",NA,"2023-07-08"
"194","DarkErrorcore",NA,"2023-07-08"
"195","Darkest Academia",NA,"2023-07-08"
"196","Dark Fantasy",NA,"2023-07-08"
"197","Dark Gatsby",NA,"2023-07-08"
"198","Dark Naturalism",NA,"2023-07-08"
"199","Dark Nautical",NA,"2023-07-08"
"200","Dark Nymphet",NA,"2023-07-08"
"201","Dark Paradise",NA,"2023-07-08"
"202","Dark Y2K",NA,"2023-07-08"
"203","Daydreampunk",NA,"2023-07-08"
"204","Dazecore",NA,"2023-07-08"
"205","Dead Inside",NA,"2023-07-08"
"206","Deathcore",NA,"2023-07-08"
"207","Deathrock",NA,"2023-07-08"
"208","Decopunk",NA,"2023-07-08"
"209","Decora",NA,"2023-07-08"
"210","Delicate Sweet",NA,"2023-07-08"
"211","Denpa Kei",NA,"2023-07-08"
"212","Desertwave",NA,"2023-07-08"
"213","Desi Romantic Academia",NA,"2023-07-08"
"214","De Stijl",NA,"2023-07-08"
"215","Dethereal",NA,"2023-07-08"
"216","Devilcore",NA,"2023-07-08"
"217","Dieselpunk",NA,"2023-07-08"
"218","Digital Horror",NA,"2023-07-08"
"219","Digital Oddity",NA,"2023-07-08"
"220","Diner",NA,"2023-07-08"
"221","Dionysism",NA,"2023-07-08"
"222","Disco",NA,"2023-07-08"
"223","Dokukawaii",NA,"2023-07-08"
"224","Dollar Store Vernacular",NA,"2023-07-08"
"225","Dollcore",NA,"2023-07-08"
"226","Dollette",NA,"2023-07-08"
"227","Dolly Kei",NA,"2023-07-08"
"228","Doodlecore",NA,"2023-07-08"
"229","Doomcore",NA,"2023-07-08"
"230","DORFic",NA,"2023-07-08"
"231","Downtown Girl",NA,"2023-07-08"
"232","Dracopunk",NA,"2023-07-08"
"233","Dragoncore",NA,"2023-07-08"
"234","Drain",NA,"2023-07-08"
"235","Dreamcore",NA,"2023-07-08"
"236","Dream Punk",NA,"2023-07-08"
"237","Dreamy",NA,"2023-07-08"
"238","Driftcore",NA,"2023-07-08"
"239","Drugcore",NA,"2023-07-08"
"240","Dual Kawaii",NA,"2023-07-08"
"241","Dullcore",NA,"2023-07-08"
"242","Dungeoncore",NA,"2023-07-08"
"243","Dungeonpunk",NA,"2023-07-08"
"244","Dungeon Synth",NA,"2023-07-08"
"245","Dutch Golden Age",NA,"2023-07-08"
"246","Earthcore",NA,"2023-07-08"
"247","E-Boy",NA,"2023-07-08"
"248","E-Girl",NA,"2023-07-08"
"249","Edgy Meme",NA,"2023-07-08"
"250","ElectroPop 08",NA,"2023-07-08"
"251","Electro Swing",NA,"2023-07-08"
"252","Elizabethan England",NA,"2023-07-08"
"253","Emo",NA,"2023-07-08"
"254","English Major",NA,"2023-07-08"
"255","Equestrian",NA,"2023-07-08"
"256","Erokawa",NA,"2023-07-08"
"257","Eshay",NA,"2023-07-08"
"258","Ethereal",NA,"2023-07-08"
"259","Europunk",NA,"2023-07-08"
"260","EXEcore",NA,"2023-07-08"
"261","Expressionism",NA,"2023-07-08"
"262","Fairy Academia",NA,"2023-07-08"
"263","Fairycore",NA,"2023-07-08"
"264","Fairy Grunge",NA,"2023-07-08"
"265","Fairy Kei",NA,"2023-07-08"
"266","Fairy Tale",NA,"2023-07-08"
"267","Fanfare",NA,"2023-07-08"
"268","Fantasy",NA,"2023-07-08"
"269","Fantasy Astronomy",NA,"2023-07-08"
"270","FantasY2K",NA,"2023-07-08"
"271","Farmers Daughter",NA,"2023-07-08"
"272","Fashwave",NA,"2023-07-08"
"273","Fauvism",NA,"2023-07-08"
"274","Feísmo",NA,"2023-07-08"
"275","Femboy",NA,"2023-07-08"
"276","Femcel Weeaboo",NA,"2023-07-08"
"277","Femme Fatale",NA,"2023-07-08"
"278","Feralcore",NA,"2023-07-08"
"279","Fieldcore",NA,"2023-07-08"
