"","aesthetic","aes_link","depop_results","date"
"68","Biopunk","https://aesthetics.fandom.com/wiki/Biopunk",115,"2023-01-14"
"69","Bizarro Fiction","https://aesthetics.fandom.com/wiki/Bizarro_Fiction",NA,"2023-01-14"
"70","Black-Holed Meme","https://aesthetics.fandom.com/wiki/Black-Holed_Meme",NA,"2023-01-14"
"71","Bloomcore","https://aesthetics.fandom.com/wiki/Bloomcore",57,"2023-01-14"
"72","Bodikon","https://aesthetics.fandom.com/wiki/Bodikon",3,"2023-01-14"
"73","Bohemian","https://aesthetics.fandom.com/wiki/Bohemian",7618,"2023-01-14"
"74","Bombacore","https://aesthetics.fandom.com/wiki/Bombacore",103,"2023-01-14"
"75","Bookstore Girl","https://aesthetics.fandom.com/wiki/Bookstore_Girl",NA,"2023-01-14"
"76","Bosozoku","https://aesthetics.fandom.com/wiki/Bosozoku",NA,"2023-01-14"
"77","Boujee","https://aesthetics.fandom.com/wiki/Boujee",330,"2023-01-14"
"78","Breakcore","https://aesthetics.fandom.com/wiki/Breakcore",3,"2023-01-14"
"79","Britpop","https://aesthetics.fandom.com/wiki/Britpop",65,"2023-01-14"
"80","Brocore","https://aesthetics.fandom.com/wiki/Brocore",NA,"2023-01-14"
"81","Bronzepunk","https://aesthetics.fandom.com/wiki/Bronzepunk",1,"2023-01-14"
"82","Bunni Frog","https://aesthetics.fandom.com/wiki/Bunni_Frog",NA,"2023-01-14"
"83","Bubble Bujo","https://aesthetics.fandom.com/wiki/Bubble_Bujo",NA,"2023-01-14"
"84","Bubble Goth","https://aesthetics.fandom.com/wiki/Bubble_Goth",NA,"2023-01-14"
"85","Bubblegum Bitch","https://aesthetics.fandom.com/wiki/Bubblegum_Bitch",4,"2023-01-14"
"86","Bubblegum Witch","https://aesthetics.fandom.com/wiki/Bubblegum_Witch",NA,"2023-01-14"
"87","Cabincore","https://aesthetics.fandom.com/wiki/Cabincore",162,"2023-01-14"
"88","Cagole","https://aesthetics.fandom.com/wiki/Cagole",19,"2023-01-14"
"89","Camp","https://aesthetics.fandom.com/wiki/Camp",5,"2023-01-14"
"90","Campcore","https://aesthetics.fandom.com/wiki/Campcore",12,"2023-01-14"
"91","Candycore","https://aesthetics.fandom.com/wiki/Candycore",52,"2023-01-14"
"92","Cargopunk","https://aesthetics.fandom.com/wiki/Cargopunk",3,"2023-01-14"
"93","Carnivalcore","https://aesthetics.fandom.com/wiki/Carnivalcore",1,"2023-01-14"
"94","Cartelcore","https://aesthetics.fandom.com/wiki/Cartelcore",NA,"2023-01-14"
