"","aesthetic","etsy_results","date"
"1","80s heart-throb",NA,"2023-06-24"
"2","1950s Suburbia",NA,"2023-06-24"
"3","2000s Autumn",1,"2023-06-24"
"4","2010s Internet",NA,"2023-06-24"
"5","2014 Tumblr",5,"2023-06-24"
"6","2014 Girly",1,"2023-06-24"
"7","2020 Alt",153,"2023-06-24"
"8","2K1",NA,"2023-06-24"
"9","2K7",NA,"2023-06-24"
"10","2 Tone",700,"2023-06-24"
"11","80s Ballroom",NA,"2023-06-24"
"12","Abstract Tech",1119,"2023-06-24"
"13","Acid Pixie",NA,"2023-06-24"
"14","Acidwave",NA,"2023-06-24"
"15","Acubi",4,"2023-06-24"
"16","Adventure Pulp",1,"2023-06-24"
"17","Adventurecore",13,"2023-06-24"
"18","Aetherpunk",NA,"2023-06-24"
"19","Afro-Victorian",NA,"2023-06-24"
"20","Afrofuturism",8,"2023-06-24"
"21","After Hours",96,"2023-06-24"
"22","Agropeople",NA,"2023-06-24"
"23","Ah Beng",NA,"2023-06-24"
"24","Alien",777,"2023-06-24"
"25","Alternative",1676,"2023-06-24"
"26","Amateur Photography",NA,"2023-06-24"
"27","American Pioneers",NA,"2023-06-24"
"28","American Revolution",3,"2023-06-24"
"29","American Thanksgiving",72,"2023-06-24"
"30","American Tourist Traps",NA,"2023-06-24"
"31","Americana",181,"2023-06-24"
"32","Analog Horror",NA,"2023-06-24"
"33","Ancient Egypt",193,"2023-06-24"
"34","Androgynous",27,"2023-06-24"
"35","Angelcore",169,"2023-06-24"
"36","Anglo Gothic",NA,"2023-06-24"
"37","Anglocore",NA,"2023-06-24"
"38","Angura",NA,"2023-06-24"
"39","Animecore",18,"2023-06-24"
"40","Anoncore",NA,"2023-06-24"
"41","Anti-Fashion",NA,"2023-06-24"
"42","Antique Grunge",52,"2023-06-24"
"43","Arabfunny",NA,"2023-06-24"
"44","Arcade",354,"2023-06-24"
"45","Arcadecore",NA,"2023-06-24"
"46","Art Academia",11262,"2023-06-24"
"47","Art Deco",26599,"2023-06-24"
"48","Art Hoe",114,"2023-06-24"
"49","Art Nouveau",4026,"2023-06-24"
"50","Artcore",4,"2023-06-24"
"51","Artificial Nature",10,"2023-06-24"
"52","Arts and Crafts Movement",62,"2023-06-24"
"53","Asian Baby Girl",11,"2023-06-24"
"54","Athlete",90,"2023-06-24"
"55","Atompunk",3,"2023-06-24"
"56","Auroracore",NA,"2023-06-24"
"57","Australian Outback",4,"2023-06-24"
"58","Australiana",4,"2023-06-24"
"59","Autumn",5568,"2023-06-24"
"60","Autumn Academia",296,"2023-06-24"
"61","Avant-garde",114,"2023-06-24"
"62","Avant Apocalypse",NA,"2023-06-24"
"63","B-Movie Horror",3,"2023-06-24"
"64","BDSM",135,"2023-06-24"
"65","Babycore",4,"2023-06-24"
"66","Babygirl",22,"2023-06-24"
"67","Back-to-School",18,"2023-06-24"
"68","Baddie",513,"2023-06-24"
"69","Baidexweb",NA,"2023-06-24"
"70","Bakala",NA,"2023-06-24"
"71","Ballet Academia",23,"2023-06-24"
"72","Balletcore",54,"2023-06-24"
"73","Baltic Violence Tumblr",NA,"2023-06-24"
"74","Barbiecore",135,"2023-06-24"
"75","Bardcore",NA,"2023-06-24"
"76","Baroque",877,"2023-06-24"
"77","Bastardcore",NA,"2023-06-24"
"78","Bauhaus",2064,"2023-06-24"
"79","Beach Bunny",15,"2023-06-24"
"80","Beach Day",1733,"2023-06-24"
"81","Beach girl",1909,"2023-06-24"
"82","Beatnik",3,"2023-06-24"
"83","Biker",573,"2023-06-24"
"84","Bimbocore",12,"2023-06-24"
"85","Biopunk",2,"2023-06-24"
"86","Bizarro Fiction",NA,"2023-06-24"
"87","Black-Holed Meme",NA,"2023-06-24"
"88","Black Metal",2626,"2023-06-24"
"89","Bleak Crush",NA,"2023-06-24"
"90","Blokecore",NA,"2023-06-24"
"91","Blokette",NA,"2023-06-24"
"92","Bloomcore",62,"2023-06-24"
"93","Blue Night",1356,"2023-06-24"
"94","Bodikon",NA,"2023-06-24"
"95","Bohemian",42420,"2023-06-24"
"96","Bombacore",NA,"2023-06-24"
"97","Bookstore Girl",11,"2023-06-24"
"98","Bosozoku",4,"2023-06-24"
"99","Boujee",1057,"2023-06-24"
"100","Boy Next Door",NA,"2023-06-24"
