"","aesthetic","depop_results","date"
"1","1950s Suburbia",NA,"2023-05-25"
"2","80s Heartthrob",NA,"2023-05-25"
"3","2-Tone",NA,"2023-05-25"
"4","2000s Autumn",NA,"2023-05-25"
"5","2010s Internet",NA,"2023-05-25"
"6","2014-era tumblr",NA,"2023-05-25"
"7","2014 Girly Tumblr",NA,"2023-05-25"
"8","2020 Alt",NA,"2023-05-25"
"9","2K1",NA,"2023-05-25"
"10","2K7",NA,"2023-05-25"
"11","80s Ballroom",NA,"2023-05-25"
"12","Abstract Tech",NA,"2023-05-25"
"13","Acid Pixie",NA,"2023-05-25"
"14","Acidwave",NA,"2023-05-25"
"15","Acubi",NA,"2023-05-25"
"16","Adventurecore",NA,"2023-05-25"
"17","Adventure Pulp",NA,"2023-05-25"
"18","Aetherpunk",NA,"2023-05-25"
"19","Afrofuturism",NA,"2023-05-25"
"20","Afro-Victorian",NA,"2023-05-25"
"21","After Hours",NA,"2023-05-25"
"22","Agropeople",NA,"2023-05-25"
"23","Ah Beng",NA,"2023-05-25"
"24","Alien",NA,"2023-05-25"
"25","Alternative",NA,"2023-05-25"
"26","Americana",NA,"2023-05-25"
"27","American Pioneers",NA,"2023-05-25"
"28","American Revolution",NA,"2023-05-25"
"29","American Thanksgiving",NA,"2023-05-25"
"30","American Tourist Traps",NA,"2023-05-25"
"31","Analog Horror",NA,"2023-05-25"
"32","Ancient Egypt",NA,"2023-05-25"
"33","Androgynous",NA,"2023-05-25"
"34","Angelcore",NA,"2023-05-25"
"35","Anglocore",NA,"2023-05-25"
"36","Anglo Gothic",NA,"2023-05-25"
"37","Angura",NA,"2023-05-25"
"38","Animecore",NA,"2023-05-25"
"39","Anoncore",NA,"2023-05-25"
"40","Anti-Fashion",NA,"2023-05-25"
"41","Antique Grunge",NA,"2023-05-25"
"42","Arcade",NA,"2023-05-25"
"43","Arcadecore",NA,"2023-05-25"
"44","Art Academia",NA,"2023-05-25"
"45","Artcore",NA,"2023-05-25"
"46","Art Deco",NA,"2023-05-25"
"47","Art Hoe",NA,"2023-05-25"
"48","Art Nouveau",NA,"2023-05-25"
"49","Artificial Nature",NA,"2023-05-25"
"50","Arts and Crafts Movement",NA,"2023-05-25"
"51","Asian Baby Girl",NA,"2023-05-25"
"52","Athlete",NA,"2023-05-25"
"53","Atompunk",NA,"2023-05-25"
"54","Auroracore",NA,"2023-05-25"
"55","Australiana",NA,"2023-05-25"
"56","Australian Outback",NA,"2023-05-25"
"57","Autumn",NA,"2023-05-25"
"58","Autumn Academia",NA,"2023-05-25"
"59","Avant Apocalypse",NA,"2023-05-25"
"60","Avant-garde",NA,"2023-05-25"
"61","Babycore",NA,"2023-05-25"
"62","Babygirl",NA,"2023-05-25"
"63","Back-to-School",NA,"2023-05-25"
"64","Baddie",NA,"2023-05-25"
"65","Ballet Academia",NA,"2023-05-25"
"66","Balletcore",NA,"2023-05-25"
"67","Baltic Violence Tumblr",NA,"2023-05-25"
"68","Barbiecore",NA,"2023-05-25"
"69","Bardcore",NA,"2023-05-25"
"70","Baroque",NA,"2023-05-25"
"71","Bastardcore",NA,"2023-05-25"
"72","Bauhaus",NA,"2023-05-25"
"73","BDSM",NA,"2023-05-25"
"74","Beach Bunny",NA,"2023-05-25"
"75","Beach Day",NA,"2023-05-25"
"76","Beach Girl",NA,"2023-05-25"
"77","Beatnik",NA,"2023-05-25"
"78","Biker",NA,"2023-05-25"
"79","Bimbocore",NA,"2023-05-25"
"80","Biopunk",NA,"2023-05-25"
"81","Bizarro Fiction",NA,"2023-05-25"
"82","Black Metal",NA,"2023-05-25"
"83","Blokecore",NA,"2023-05-25"
"84","Blokette",NA,"2023-05-25"
"85","Bloomcore",NA,"2023-05-25"
"86","Blue Night",NA,"2023-05-25"
"87","Bodikon",NA,"2023-05-25"
"88","Bohemian",NA,"2023-05-25"
"89","Bombacore",NA,"2023-05-25"
"90","Bookstore Girl",NA,"2023-05-25"
"91","Bosozoku",NA,"2023-05-25"
"92","Boujee",NA,"2023-05-25"
"93","Breakcore",NA,"2023-05-25"
"94","Brazilian Pop Bar",NA,"2023-05-25"
"95","Britpop",NA,"2023-05-25"
"96","Bro",NA,"2023-05-25"
"97","Bro Hoe",NA,"2023-05-25"
"98","Bronzepunk",NA,"2023-05-25"
"99","Bubble Bujo",NA,"2023-05-25"
"100","Bubble Goth",NA,"2023-05-25"
"101","Bubblegum Bitch",NA,"2023-05-25"
"102","Bubblegum Witch",NA,"2023-05-25"
"103","Busukawaii",NA,"2023-05-25"
"104","Cabincore",NA,"2023-05-25"
"105","Cagole",NA,"2023-05-25"
"106","Camp",NA,"2023-05-25"
"107","Campcore",NA,"2023-05-25"
"108","Carnivalcore",NA,"2023-05-25"
"109","Cartelcore",NA,"2023-05-25"
"110","Cartooncore",NA,"2023-05-25"
"111","Casino",NA,"2023-05-25"
"112","Cassette Futurism",NA,"2023-05-25"
"113","Celtic",NA,"2023-05-25"
"114","Changelingcore",NA,"2023-05-25"
"115","Chaotic Academia",NA,"2023-05-25"
"116","Chav",NA,"2023-05-25"
"117","Cheiron Crush",NA,"2023-05-25"
"118","Cherry Emoji Twitter",NA,"2023-05-25"
"119","Chic Modernist",NA,"2023-05-25"
"120","Cholo",NA,"2023-05-25"
"121","Chonis",NA,"2023-05-25"
"122","Christcore",NA,"2023-05-25"
"123","Christian Girl Autumn",NA,"2023-05-25"
"124","Christmas",NA,"2023-05-25"
"125","Chromecore",NA,"2023-05-25"
"126","Chunyu",NA,"2023-05-25"
"127","City Pop",NA,"2023-05-25"
"128","Classic Academia",NA,"2023-05-25"
"129","Classicism",NA,"2023-05-25"
"130","Classic Lolita",NA,"2023-05-25"
"131","Cleancore",NA,"2023-05-25"
"132","Clockpunk",NA,"2023-05-25"
"133","Clowncore",NA,"2023-05-25"
"134","Club",NA,"2023-05-25"
"135","Club Kids",NA,"2023-05-25"
"136","Cluttercore",NA,"2023-05-25"
"137","Coastal Grandmother",NA,"2023-05-25"
"138","Coffee House/Cafe",NA,"2023-05-25"
"139","Coffinwood",NA,"2023-05-25"
"140","Comfy/Cozy",NA,"2023-05-25"
"141","Color Pop",NA,"2023-05-25"
"142","Common White Girl",NA,"2023-05-25"
"143","Concore",NA,"2023-05-25"
"144","Constructivism",NA,"2023-05-25"
"145","Corporate",NA,"2023-05-25"
"146","Corporate Memphis",NA,"2023-05-25"
"147","Corporate Punk",NA,"2023-05-25"
"148","Cottagecore",NA,"2023-05-25"
"149","Cottagegore",NA,"2023-05-25"
"150","Coquette",NA,"2023-05-25"
"151","Coquette Academia",NA,"2023-05-25"
"152","Country",NA,"2023-05-25"
"153","Cozy Childhood Hideaway",NA,"2023-05-25"
"154","C-Pop",NA,"2023-05-25"
"155","Crackhead",NA,"2023-05-25"
"156","Craftcore",NA,"2023-05-25"
"157","Cripplepunk",NA,"2023-05-25"
"158","Crowcore",NA,"2023-05-25"
"159","Crustpunk",NA,"2023-05-25"
"160","Cryptid Academia",NA,"2023-05-25"
"161","Cryptidcore",NA,"2023-05-25"
"162","Cuddle Party",NA,"2023-05-25"
"163","Cultcore",NA,"2023-05-25"
"164","Cult Party Kei",NA,"2023-05-25"
"165","Cutecore",NA,"2023-05-25"
"166","Cyberdelic",NA,"2023-05-25"
"167","Cyber Fairy Grunge",NA,"2023-05-25"
"168","Cyberghetto",NA,"2023-05-25"
"169","Cybergoth",NA,"2023-05-25"
"170","Cybergrunge",NA,"2023-05-25"
"171","CyberneticPunk",NA,"2023-05-25"
"172","Cyberparadism",NA,"2023-05-25"
"173","Cyberpop",NA,"2023-05-25"
"174","Cyberprep",NA,"2023-05-25"
"175","Cyberpunk",NA,"2023-05-25"
"176","Cyberspace Webrooms",NA,"2023-05-25"
"177","Cybervillain",NA,"2023-05-25"
"178","Cyber Stylin’",NA,"2023-05-25"
"179","Danish Pastel",NA,"2023-05-25"
"180","Dank Meme Voyage",NA,"2023-05-25"
"181","Dark Academia",NA,"2023-05-25"
"182","Darkcore",NA,"2023-05-25"
"183","DarkErrorcore",NA,"2023-05-25"
"184","Darkest Academia",NA,"2023-05-25"
"185","Dark Fantasy",NA,"2023-05-25"
"186","Dark Gatsby",NA,"2023-05-25"
"187","Dark Naturalism",NA,"2023-05-25"
"188","Dark Nautical",NA,"2023-05-25"
"189","Dark Nymphet",NA,"2023-05-25"
"190","Dark Paradise",NA,"2023-05-25"
"191","Dark Y2K",NA,"2023-05-25"
"192","Daydreampunk",NA,"2023-05-25"
"193","Dazecore",NA,"2023-05-25"
"194","Deathcore",NA,"2023-05-25"
"195","Deathrock",NA,"2023-05-25"
"196","Decopunk",NA,"2023-05-25"
"197","Decora",NA,"2023-05-25"
"198","Delicate Sweet",NA,"2023-05-25"
"199","Denpa-Kei",NA,"2023-05-25"
"200","Desertwave",NA,"2023-05-25"
"201","Desi Romantic Academia",NA,"2023-05-25"
"202","De Stijl",NA,"2023-05-25"
"203","Dethereal",NA,"2023-05-25"
"204","Devilcore",NA,"2023-05-25"
"205","Dieselpunk",NA,"2023-05-25"
"206","Digital Horror",NA,"2023-05-25"
"207","Diner",NA,"2023-05-25"
"208","Dionysism",NA,"2023-05-25"
"209","Disco",NA,"2023-05-25"
"210","Dokukawaii",NA,"2023-05-25"
"211","Dollar Store Vernacular",NA,"2023-05-25"
"212","Dollette",NA,"2023-05-25"
"213","Dolly Kei",NA,"2023-05-25"
"214","Doodlecore",NA,"2023-05-25"
"215","DORFic",NA,"2023-05-25"
"216","Downtown Girl",NA,"2023-05-25"
"217","Dracopunk",NA,"2023-05-25"
"218","Dragoncore",NA,"2023-05-25"
"219","Drain",NA,"2023-05-25"
"220","Dreamcore",NA,"2023-05-25"
"221","Dream Punk",NA,"2023-05-25"
"222","Dreamy",NA,"2023-05-25"
"223","Driftcore",NA,"2023-05-25"
"224","Drugcore",NA,"2023-05-25"
"225","Dual Kawaii",NA,"2023-05-25"
"226","Dullcore",NA,"2023-05-25"
"227","Dungeon Synth",NA,"2023-05-25"
"228","Dutch Golden Age",NA,"2023-05-25"
"229","Earthcore",NA,"2023-05-25"
"230","E-Boy",NA,"2023-05-25"
"231","E-Girl",NA,"2023-05-25"
"232","ElectroPop 08",NA,"2023-05-25"
"233","Electro Swing",NA,"2023-05-25"
"234","Elizabethan England",NA,"2023-05-25"
"235","Emo",NA,"2023-05-25"
"236","English Major",NA,"2023-05-25"
"237","Equestrian",NA,"2023-05-25"
"238","Erokawa",NA,"2023-05-25"
"239","Eshay",NA,"2023-05-25"
