"","aesthetic","aes_link","depop_results","date"
"1","'70s Disco","https://aesthetics.fandom.com/wiki/70s_Disco",2,"2023-01-13"
"2","2-Tone","https://aesthetics.fandom.com/wiki/2_Tone",316,"2023-01-13"
"3","1950's Suburbia","https://aesthetics.fandom.com/wiki/1950s_Suburbia",NA,"2023-01-13"
"4","2014 Girly Tumblr","https://aesthetics.fandom.com/wiki/2014_Girly",NA,"2023-01-13"
"5","2K Animecore","https://aesthetics.fandom.com/wiki/2K_Animecore",NA,"2023-01-13"
"6","Abstract Tech","https://aesthetics.fandom.com/wiki/Abstract_Tech",NA,"2023-01-13"
"7","Acid Pixie","https://aesthetics.fandom.com/wiki/Acid_Pixie",NA,"2023-01-13"
"8","Acidwave","https://aesthetics.fandom.com/wiki/Acidwave",3,"2023-01-13"
"9","Acubi","https://aesthetics.fandom.com/wiki/Acubi",73,"2023-01-13"
"10","Adventure Pulp","https://aesthetics.fandom.com/wiki/Adventure_Pulp",NA,"2023-01-13"
"11","Adventurecore","https://aesthetics.fandom.com/wiki/Adventurecore",40,"2023-01-13"
"12","Aetherpunk","https://aesthetics.fandom.com/wiki/Aetherpunk",NA,"2023-01-13"
"13","Afrofuturism","https://aesthetics.fandom.com/wiki/Afrofuturism",1,"2023-01-13"
"14","Afro-Victorian","https://aesthetics.fandom.com/wiki/Afro-Victorian",1,"2023-01-13"
"15","After Hours","https://aesthetics.fandom.com/wiki/After_Hours",267,"2023-01-13"
"16","Agropeople","https://aesthetics.fandom.com/wiki/Agrogirl/Agroboy",NA,"2023-01-13"
"17","Alien","https://aesthetics.fandom.com/wiki/Alien",547,"2023-01-13"
"18","Alternative","https://aesthetics.fandom.com/wiki/Alternative",8846,"2023-01-13"
"19","Americana","https://aesthetics.fandom.com/wiki/Americana",10,"2023-01-13"
"20","Analog Horror","https://aesthetics.fandom.com/wiki/Analog_Horror",NA,"2023-01-13"
"21","American Pioneers","https://aesthetics.fandom.com/wiki/American_Pioneers",NA,"2023-01-13"
"22","American Revolution","https://aesthetics.fandom.com/wiki/American_Revolution",NA,"2023-01-13"
"23","American Thanksgiving","https://aesthetics.fandom.com/wiki/American_Thanksgiving",NA,"2023-01-13"
"24","American Tourist Traps","https://aesthetics.fandom.com/wiki/American_Tourist_Traps",NA,"2023-01-13"
"25","Ancient Egypt","https://aesthetics.fandom.com/wiki/Ancient_Egypt",22,"2023-01-13"
"26","Androgynous","https://aesthetics.fandom.com/wiki/Androgynous",441,"2023-01-13"
"27","Anemoiacore","https://aesthetics.fandom.com/wiki/Anemoiacore",NA,"2023-01-13"
"28","Angelcore","https://aesthetics.fandom.com/wiki/Angelcore",1334,"2023-01-13"
"29","Anglocore","https://aesthetics.fandom.com/wiki/Anglocore",1221,"2023-01-13"
"30","Anglo Gothic","https://aesthetics.fandom.com/wiki/Anglo_Gothic",NA,"2023-01-13"
"31","Angura Kei","https://aesthetics.fandom.com/wiki/Angura_Kei",NA,"2023-01-13"
"32","Animecore","https://aesthetics.fandom.com/wiki/Animecore",NA,"2023-01-13"
"33","Antique Grunge","https://aesthetics.fandom.com/wiki/Antique_Grunge",NA,"2023-01-13"
"34","Anti-Fashion","https://aesthetics.fandom.com/wiki/Anti-Fashion",31,"2023-01-13"
"35","Arcade","https://aesthetics.fandom.com/wiki/Arcade",NA,"2023-01-13"
"36","Arcadecore","https://aesthetics.fandom.com/wiki/Arcadecore",NA,"2023-01-13"
"37","Art Academia","https://aesthetics.fandom.com/wiki/Art_Academia",NA,"2023-01-13"
"38","Arts and Crafts Movement","https://aesthetics.fandom.com/wiki/Arts_and_Crafts_Movement",NA,"2023-01-13"
"39","Art Deco","https://aesthetics.fandom.com/wiki/Art_Deco",NA,"2023-01-13"
"40","Art Hoe","https://aesthetics.fandom.com/wiki/Art_Hoe",NA,"2023-01-13"
"41","Art Nouveau","https://aesthetics.fandom.com/wiki/Art_Nouveau",NA,"2023-01-13"
"42","Asian Baby Girl","https://aesthetics.fandom.com/wiki/Asian_Baby_Girl",NA,"2023-01-13"
"43","Athlete","https://aesthetics.fandom.com/wiki/Athlete",282,"2023-01-13"
"44","Atompunk","https://aesthetics.fandom.com/wiki/Atompunk",1,"2023-01-13"
"45","Auroracore","https://aesthetics.fandom.com/wiki/Auroracore",4,"2023-01-13"
"46","Autumn Academia","https://aesthetics.fandom.com/wiki/Autumn_Academia",NA,"2023-01-13"
"47","Autumn","https://aesthetics.fandom.com/wiki/Autumn",2,"2023-01-13"
"48","Avant Apocalypse","https://aesthetics.fandom.com/wiki/Avant_Apocalypse",NA,"2023-01-13"
"49","Avant-garde","https://aesthetics.fandom.com/wiki/Avant-garde",1641,"2023-01-13"
"50","Babycore","https://aesthetics.fandom.com/wiki/Babycore",165,"2023-01-13"
"51","Babygirl","https://aesthetics.fandom.com/wiki/Babygirl",4151,"2023-01-13"
"52","Back-to-School","https://aesthetics.fandom.com/wiki/Back-to-School",931,"2023-01-13"
"53","Baddie","https://aesthetics.fandom.com/wiki/Baddie",4741,"2023-01-13"
"54","Ballet Academia","https://aesthetics.fandom.com/wiki/Ballet_Academia",NA,"2023-01-13"
"55","Baltic Violence Tumblr","https://aesthetics.fandom.com/wiki/Baltic_Violence_Tumblr",NA,"2023-01-13"
"56","Barbiecore","https://aesthetics.fandom.com/wiki/Barbiecore",257,"2023-01-13"
"57","Bardcore","https://aesthetics.fandom.com/wiki/Bardcore",1,"2023-01-13"
"58","Baroque","https://aesthetics.fandom.com/wiki/Baroque",299,"2023-01-13"
"59","Bastardcore","https://aesthetics.fandom.com/wiki/Bastardcore",1,"2023-01-13"
"60","Bauhaus","https://aesthetics.fandom.com/wiki/Bauhaus",7,"2023-01-13"
"61","BDSM","https://aesthetics.fandom.com/wiki/BDSM",71,"2023-01-13"
"62","Beach Bunny","https://aesthetics.fandom.com/wiki/Beach_Bunny",NA,"2023-01-13"
"63","Beach Day","https://aesthetics.fandom.com/wiki/Beach_Day",NA,"2023-01-13"
"64","Beatnik","https://aesthetics.fandom.com/wiki/Beatnik",24,"2023-01-13"
"65","Biker","https://aesthetics.fandom.com/wiki/Biker",2038,"2023-01-13"
"66","Bimbocore","https://aesthetics.fandom.com/wiki/Bimbocore",181,"2023-01-13"
"67","Biohazard","https://aesthetics.fandom.com/wiki/Biohazard",7,"2023-01-13"
"68","Biopunk","https://aesthetics.fandom.com/wiki/Biopunk",115,"2023-01-13"
"69","Bizarro Fiction","https://aesthetics.fandom.com/wiki/Bizarro_Fiction",NA,"2023-01-13"
"70","Black-Holed Meme","https://aesthetics.fandom.com/wiki/Black-Holed_Meme",NA,"2023-01-13"
"71","Bloomcore","https://aesthetics.fandom.com/wiki/Bloomcore",58,"2023-01-13"
"72","Bodikon","https://aesthetics.fandom.com/wiki/Bodikon",3,"2023-01-13"
"73","Bohemian","https://aesthetics.fandom.com/wiki/Bohemian",7609,"2023-01-13"
"74","Bombacore","https://aesthetics.fandom.com/wiki/Bombacore",103,"2023-01-13"
"75","Bookstore Girl","https://aesthetics.fandom.com/wiki/Bookstore_Girl",NA,"2023-01-13"
"76","Bosozoku","https://aesthetics.fandom.com/wiki/Bosozoku",NA,"2023-01-13"
"77","Boujee","https://aesthetics.fandom.com/wiki/Boujee",331,"2023-01-13"
"78","Breakcore","https://aesthetics.fandom.com/wiki/Breakcore",3,"2023-01-13"
"79","Britpop","https://aesthetics.fandom.com/wiki/Britpop",65,"2023-01-13"
"80","Brocore","https://aesthetics.fandom.com/wiki/Brocore",NA,"2023-01-13"
"81","Bronzepunk","https://aesthetics.fandom.com/wiki/Bronzepunk",1,"2023-01-13"
"82","Bunni Frog","https://aesthetics.fandom.com/wiki/Bunni_Frog",NA,"2023-01-13"
"83","Bubble Bujo","https://aesthetics.fandom.com/wiki/Bubble_Bujo",NA,"2023-01-13"
"84","Bubble Goth","https://aesthetics.fandom.com/wiki/Bubble_Goth",NA,"2023-01-13"
"85","Bubblegum Bitch","https://aesthetics.fandom.com/wiki/Bubblegum_Bitch",4,"2023-01-13"
"86","Bubblegum Witch","https://aesthetics.fandom.com/wiki/Bubblegum_Witch",NA,"2023-01-13"
"87","Cabincore","https://aesthetics.fandom.com/wiki/Cabincore",164,"2023-01-13"
"88","Cagole","https://aesthetics.fandom.com/wiki/Cagole",20,"2023-01-13"
"89","Camp","https://aesthetics.fandom.com/wiki/Camp",5,"2023-01-13"
"90","Campcore","https://aesthetics.fandom.com/wiki/Campcore",12,"2023-01-13"
"91","Candycore","https://aesthetics.fandom.com/wiki/Candycore",52,"2023-01-13"
"92","Cargopunk","https://aesthetics.fandom.com/wiki/Cargopunk",3,"2023-01-13"
"93","Carnivalcore","https://aesthetics.fandom.com/wiki/Carnivalcore",1,"2023-01-13"
"94","Cartelcore","https://aesthetics.fandom.com/wiki/Cartelcore",NA,"2023-01-13"
"95","Cartooncore","https://aesthetics.fandom.com/wiki/Cartooncore",2,"2023-01-13"
"96","Casino","https://aesthetics.fandom.com/wiki/Casino",38,"2023-01-13"
"97","Cassette Futurism","https://aesthetics.fandom.com/wiki/Cassette_Futurism",NA,"2023-01-13"
"98","Celtic","https://aesthetics.fandom.com/wiki/Celtic",307,"2023-01-13"
"99","Changelingcore","https://aesthetics.fandom.com/wiki/Changelingcore",NA,"2023-01-13"
"100","Chaotic Academia","https://aesthetics.fandom.com/wiki/Chaotic_Academia",NA,"2023-01-13"
"101","Chav","https://aesthetics.fandom.com/wiki/Chav",1,"2023-01-13"
"102","Cheiron Crush","https://aesthetics.fandom.com/wiki/Cheiron_Crush",NA,"2023-01-13"
"103","Cherry Emoji Twitter","https://aesthetics.fandom.com/wiki/Cherry_Emoji_Twitter",NA,"2023-01-13"
"104","Chic Modernist","https://aesthetics.fandom.com/wiki/Chic_Modernist",NA,"2023-01-13"
"105","Cholo","https://aesthetics.fandom.com/wiki/Cholo",5,"2023-01-13"
"106","Christcore","https://aesthetics.fandom.com/wiki/Christcore",1,"2023-01-13"
"107","Christian Girl Autumn","https://aesthetics.fandom.com/wiki/Christian_Girl_Autumn",NA,"2023-01-13"
"108","Christmas","https://aesthetics.fandom.com/wiki/Christmas",2969,"2023-01-13"
"109","Chunyu","https://aesthetics.fandom.com/wiki/Chunyu",NA,"2023-01-13"
"110","City Pop","https://aesthetics.fandom.com/wiki/City_Pop",NA,"2023-01-13"
"111","Classic Academia","https://aesthetics.fandom.com/wiki/Classic_Academia",NA,"2023-01-13"
"112","Classic Lolita","https://aesthetics.fandom.com/wiki/Classic_Lolita",NA,"2023-01-13"
"113","Classicism","https://aesthetics.fandom.com/wiki/Classicism",204,"2023-01-13"
"114","Cleancore","https://aesthetics.fandom.com/wiki/Cleancore",287,"2023-01-13"
"115","Clockpunk","https://aesthetics.fandom.com/wiki/Clockpunk",NA,"2023-01-13"
"116","Cloudcore","https://aesthetics.fandom.com/wiki/Single-Subject_Aesthetics",284,"2023-01-13"
"117","Clowncore","https://aesthetics.fandom.com/wiki/Clowncore",337,"2023-01-13"
"118","Club","https://aesthetics.fandom.com/wiki/Club",NA,"2023-01-13"
"119","Club Kids","https://aesthetics.fandom.com/wiki/Club_Kids",NA,"2023-01-13"
"120","Coastal Grandmother","https://aesthetics.fandom.com/wiki/Coastal_Grandmother",249,"2023-01-13"
"121","Cutecore","https://aesthetics.fandom.com/wiki/Cutecore",210,"2023-01-13"
"122","Coffee House/Cafe","https://aesthetics.fandom.com/wiki/Coffee_House/Cafe",1,"2023-01-13"
"123","Coffinwood","https://aesthetics.fandom.com/wiki/Coffinwood",NA,"2023-01-13"
