"","aesthetic","etsy_results","date"
"1","Y2K",11270,"2023-03-26"
"2","Grunge",2993,"2023-03-26"
"3","Goth",7347,"2023-03-26"
"4","Cottagecore",16587,"2023-03-26"
"5","Kawaii",10972,"2023-03-26"
"6","Summer",5730,"2023-03-26"
"7","Cottagegore",14,"2023-03-26"
"8","E-Girl",402,"2023-03-26"
"9","Skater",452,"2023-03-26"
"10","Punk",1059,"2023-03-26"
"11","Emo",572,"2023-03-26"
"12","Preppy",8176,"2023-03-26"
"13","Coquette",1646,"2023-03-26"
"14","Hippie",8231,"2023-03-26"
"15","Fairy Grunge",570,"2023-03-26"
"16","Fairycore",2670,"2023-03-26"
"17","Americana",163,"2023-03-26"
"18","Minimalism",16566,"2023-03-26"
"19","Spring",5898,"2023-03-26"
"20","Soft Grunge",185,"2023-03-26"
"21","Raver",15,"2023-03-26"
"22","Alternative",1571,"2023-03-26"
"23","Lolita",244,"2023-03-26"
"24","Gothic",13059,"2023-03-26"
"25","Kidcore",465,"2023-03-26"
"26","Winter",3667,"2023-03-26"
"27","VSCO",2653,"2023-03-26"
"28","Soft indie",155,"2023-03-26"
"29","Rock",2519,"2023-03-26"
"30","Victorian",6215,"2023-03-26"
"31","E-Boy",31,"2023-03-26"
"32","Pastel Goth",1349,"2023-03-26"
"33","Bohemian",37208,"2023-03-26"
"34","Dark Academia",8367,"2023-03-26"
"35","Baddie",422,"2023-03-26"
"36","Hipster",556,"2023-03-26"
"37","Scene",1513,"2023-03-26"
"38","Western",3170,"2023-03-26"
"39","Babygirl",17,"2023-03-26"
"40","Halloween",9390,"2023-03-26"
"41","Pink Princess",819,"2023-03-26"
"42","Decora",180,"2023-03-26"
"43","Autumn",4135,"2023-03-26"
"44","Christmas",32677,"2023-03-26"
"45","Dollette",127,"2023-03-26"
"46","Pastel Punk",103,"2023-03-26"
"47","Whimsigothic",81,"2023-03-26"
"48","Hot Topic",3,"2023-03-26"
"49","Fairy Academia",506,"2023-03-26"
"50","Stoner",769,"2023-03-26"
"51","Mallgoth",NA,"2023-03-26"
"52","Playboy",69,"2023-03-26"
"53","Twee",5,"2023-03-26"
"54","Victorian Goth",726,"2023-03-26"
"55","Biker",229,"2023-03-26"
"56","Light Academia",2614,"2023-03-26"
"57","Cyber Fairy Grunge",1,"2023-03-26"
"58","Club",1749,"2023-03-26"
"59","Vampire",1014,"2023-03-26"
"60","Art Hoe",73,"2023-03-26"
"61","Dreamy",1932,"2023-03-26"
"62","Regency",221,"2023-03-26"
"63","Gothic Lolita",39,"2023-03-26"
"64","Avant-garde",118,"2023-03-26"
"65","Goblincore",2605,"2023-03-26"
"66","Balletcore",57,"2023-03-26"
"67","2000s Autumn",1,"2023-03-26"
"68","Ethereal",569,"2023-03-26"
"69","Psychedelica",4,"2023-03-26"
"70","Peach",1277,"2023-03-26"
"71","Glam Girl",197,"2023-03-26"
"72","Angelcore",135,"2023-03-26"
"73","Coquette Academia",256,"2023-03-26"
"74","Indie Kid",1469,"2023-03-26"
"75","Scoutcore",NA,"2023-03-26"
"76","Gorpcore",9,"2023-03-26"
"77","Gorecore",2,"2023-03-26"
"78","Witchy Academia",2278,"2023-03-26"
"79","Downtown Girl",145,"2023-03-26"
"80","Comfy/Cozy",20,"2023-03-26"
"81","Anglocore",NA,"2023-03-26"
"82","Old Money",202,"2023-03-26"
"83","Mod",919,"2023-03-26"
"84","Fantasy",11685,"2023-03-26"
"85","FantasY2K",NA,"2023-03-26"
"86","Hip-Hop",3842,"2023-03-26"
"87","Fairy Kei",158,"2023-03-26"
"88","Maximalism",411,"2023-03-26"
"89","New Romantic",115,"2023-03-26"
"90","Country",13737,"2023-03-26"
"91","Horror",7363,"2023-03-26"
"92","Disco",1361,"2023-03-26"
"93","Cyberpunk",1235,"2023-03-26"
"94","Military",304,"2023-03-26"
"95","French Girly",308,"2023-03-26"
"96","Lovecore",214,"2023-03-26"
"97","French Girl",459,"2023-03-26"
"98","Lounge",499,"2023-03-26"
"99","Green Academia",1205,"2023-03-26"
"100","Witch House",393,"2023-03-26"
