"","aesthetic","max_date","col_group"
"196","Devilcore",23,"pos"
"197","Pinterest Coquette",23,"pos"
"198","Ancient Egypt",22,"mid"
"199","Cagole",20,"pos"
"200","Foodie",20,"pos"
"201","Crustpunk",18,"mid"
"202","Expressionism",18,"neg"
"203","Frogcore",18,"mid"
"204","Queercore",18,"pos"
"205","Queencore",18,"pos"
"206","Crowcore",17,"neg"
"207","Femboy",16,"neg"
"208","Craftcore",15,"neg"
"209","French Girly",15,"pos"
"210","Kingcore",15,"mid"
"211","Synthwave",15,"pos"
"212","Kogal",14,"pos"
"213","Urbancore",14,"pos"
"214","Happycore",13,"neg"
"215","Campcore",12,"mid"
"216","Ghostcore",12,"pos"
"217","Grandmillenial",12,"pos"
"218","Trashcore",12,"pos"
"219","Yandere",12,"neg"
"220","Grandparentcore",12,"mid"
"221","Grifes",11,"pos"
"222","Nerdcore",11,"neg"
"223","Solarpunk",11,"pos"
"224","Studyblr",11,"mid"
"225","Ms Paint",10,"neg"
"226","Americana",10,"mid"
"227","Gurokawa",10,"mid"
"228","Historical Americana",10,"mid"
"229","Darkcore",9,"mid"
"230","Groundcore",9,"neg"
"231","Scene",8,"pos"
"232","Technical Scene",8,"pos"
"233","Villagecore",8,"mid"
"234","Wabi-Sabi",8,"neg"
"235","English Major",8,"pos"
"236","Morute",8,"pos"
"237","Biohazard",7,"mid"
"238","Cryptidcore",7,"mid"
"239","Sparklecore",7,"neg"
"240","Tweencore",7,"mid"
"241","Vacation Dadcore",7,"mid"
"242","Villaincore",7,"mid"
"243","Concore",7,"pos"
"244","Bauhaus",7,"neg"
"245","Heistcore",6,"neg"
"246","Mosscore",6,"neg"
"247","Roaring 20s",6,"neg"
"248","Shanzhai",6,"neg"
"249","Rivethead",6,"mid"
"250","Skinheads",6,"mid"
"251","Camp",5,"mid"
"252","Cholo",5,"mid"
"253","Dragoncore",5,"neg"
"254","Voidcore",5,"pos"
"255","Feralcore",5,"mid"
"256","Holosexual",5,"neg"
"257","Sloanies",5,"neg"
"258","Auroracore",4,"mid"
"259","Bubblegum Bitch",4,"pos"
"260","Heatwave",4,"neg"
"261","Lightcore",4,"pos"
"262","Pink Parisian",4,"mid"
"263","Twee",4,"pos"
"264","Acidwave",3,"mid"
"265","Bodikon",3,"mid"
"266","Breakcore",3,"mid"
"267","Cargopunk",3,"neg"
"268","Constructivism",3,"mid"
"269","Cyberpop",3,"pos"
"270","Dazecore",3,"pos"
"271","Decopunk",3,"mid"
"272","Dracopunk",3,"mid"
"273","Gopnik",3,"mid"
"274","Hydrogen",3,"mid"
"275","Junglecore",3,"mid"
"276","Scrapper",3,"pos"
"277","Studyplace",3,"mid"
"278","Teethcore",3,"mid"
"279","Unicorncore",3,"mid"
"280","Cubism",3,"neg"
"281","Juggalo",3,"pos"
"282","'70s Disco",2,"neg"
"283","Autumn",2,"mid"
"284","Cartooncore",2,"mid"
"285","Cyberdelic",2,"mid"
"286","Desertwave",2,"mid"
"287","Dieselpunk",2,"pos"
"288","Hellenic",2,"mid"
"289","Hikecore",2,"mid"
"290","Icepunk",2,"mid"
"291","Italo Disco",2,"neg"
"292","Mad Scientist",2,"mid"
"293","Medicalcore",2,"mid"
"294","Nuclear",2,"mid"
"295","Paleocore",2,"mid"
"296","Palewave",2,"mid"
"297","Post-Impressionism",2,"mid"
"298","Pre-Raphaelite",2,"mid"
"299","Rollerwave",2,"pos"
"300","Salvagepunk",2,"pos"
"301","Snowdrop",2,"pos"
"302","Technocore",2,"mid"
"303","Traumacore",2,"neg"
"304","Virgo's Tears",2,"mid"
"305","Labcore",2,"pos"
"306","Afrofuturism",1,"pos"
"307","Bardcore",1,"mid"
"308","Bastardcore",1,"mid"
"309","Bronzepunk",1,"mid"
"310","Chav",1,"mid"
"311","Christcore",1,"mid"
"312","Coffee House/Cafe",1,"mid"
"313","Daydreampunk",1,"mid"
"314","Dionysism",1,"neg"
"315","Grindhouse",1,"pos"
"316","Hackercore",1,"mid"
"317","Hallyu",1,"mid"
"318","Indie",1,"mid"
"319","Indie Sleaze",1,"mid"
"320","Joyride",1,"mid"
"321","Mythpunk",1,"mid"
"322","Neo-Tokyo",1,"mid"
"323","Nerd",1,"mid"
"324","Pachuco",1,"mid"
"325","Plaguecore",1,"pos"
"326","Ratcore",1,"mid"
"327","Rusticcore",1,"mid"
"328","Schoolgirl Lifestyle",1,"mid"
"329","Stonepunk",1,"mid"
"330","Suprematism",1,"mid"
"331","Traditional Korean",1,"mid"
"332","Yakuza",1,"mid"
"333","Yanki",1,"pos"
"334","Atompunk",1,"pos"
"335","Fanfare",1,"mid"
"336","Metal",1,"mid"
"337","Afro-Victorian",1,"pos"
"338","Carnivalcore",1,"pos"
"339","1950's Suburbia",0,NA
"340","2014 Girly Tumblr",0,NA
"341","2K Animecore",0,NA
"342","Abstract Tech",0,NA
"343","Acid Pixie",0,NA
"344","Aetherpunk",0,NA
"345","Analog Horror",0,NA
"346","American Pioneers",0,NA
"347","American Revolution",0,NA
"348","American Thanksgiving",0,NA
"349","American Tourist Traps",0,NA
"350","Anemoiacore",0,NA
"351","Angura Kei",0,NA
"352","Arcade",0,NA
"353","Arcadecore",0,NA
"354","Art Deco",0,NA
"355","Asian Baby Girl",0,NA
"356","Avant Apocalypse",0,NA
"357","Ballet Academia",0,NA
"358","Baltic Violence Tumblr",0,NA
"359","Beach Bunny",0,NA
"360","Beach Day",0,NA
"361","Bizarro Fiction",0,NA
"362","Black-Holed Meme",0,NA
"363","Bosozoku",0,"neg"
"364","Bunni Frog",0,NA
"365","Bubble Bujo",0,NA
"366","Bubble Goth",0,NA
"367","Cassette Futurism",0,NA
"368","Chaotic Academia",0,NA
"369","Cheiron Crush",0,NA
"370","Cherry Emoji Twitter",0,NA
"371","Christian Girl Autumn",0,NA
"372","Chunyu",0,NA
"373","City Pop",0,NA
"374","Classic Lolita",0,NA
"375","Club",0,NA
"376","Club Kids",0,NA
"377","Coffinwood",0,NA
"378","Colourful Black",0,NA
"379","Corporate",0,NA
"380","Corporate Memphis",0,NA
"381","Corporate Punk",0,NA
"382","Coquette Academia",0,NA
"383","Cozy Childhood Hideaway",0,NA
"384","Cripplepunk",0,NA
"385","Cryptid Academia",0,NA
"386","Cult Party Kei",0,NA
"387","Cyber Fairy Grunge",0,NA
"388","Cyberparadism",0,NA
"389","Danish Pastel",0,NA
"390","DarkErrorcore",0,NA
"391","Dark Academia",0,NA
"392","Dark Fantasy",0,NA
"393","Dark Nautical",0,NA
"394","Dark Nymphet",0,NA
"395","Dark Paradise",0,NA
"396","Darkest Academia",0,NA
"397","Dethereal",0,NA
"398","Dolly Kei",0,NA
"399","Drugcore",0,NA
"400","Dual Kawaii",0,NA
"401","Duckcore",0,NA
"402","Dungeon Synth",0,NA
"403","ElectroPop 08",0,NA
"404","Electro Swing",0,NA
"405","Emo",0,NA
"406","Erokawa",0,NA
"407","Fairy Academia",0,NA
"408","Fairy Grunge",0,NA
"409","Fairy Kei",0,NA
"410","Fairy Tale",0,NA
"411","Fantasy Astronomy",0,NA
"412","Fashwave",0,NA
"413","Fauvism",0,NA
"414","Flat Design",0,NA
"415","French Girl",0,NA
"416","Frutiger Aero",0,"neg"
"417","Futago",0,NA
"418","Gadgetpunk",0,NA
"419","Game Night",0,NA
"420","Gamercore",0,NA
"421","Gen X Soft Club",0,NA
"422","Glam Girl",0,NA
"423","Glam Rock",0,NA
"424","Glowwave",0,NA
"425","Golden Age of Detective Fiction",0,NA
"426","Golden Hour",0,NA
"427","Goth",0,NA
"428","Gothic",0,NA
"429","Gothic Lolita",0,NA
"430","Grunge",0,NA
"431","Gull Girl",0,NA
"432","Hatecore",0,NA
"433","Hauntology",0,NA
"434","Haussmann Paris",0,NA
"435","Health Goth",0,NA
"436","Hermaphroditus",0,NA
"437","Hermitpunk",0,NA
"438","Hexatron",0,NA
"439","Hi-NRG",0,NA
"440","High School Dream",0,NA
"441","Hime Lolita",0,NA
"442","Hipness Purgatory",0,NA
"443","Hispanicore",0,NA
"444","Horror",0,NA
"445","Horror Academia",0,NA
"446","Hot Topic",0,NA
"447","Impressionism",0,NA
"448","Indie Kid",0,NA
"449","Internet Academia",0,NA
"450","Italian Mafia",0,NA
"451","Italian Renaissance",0,NA
"452","Jamcore",0,NA
"453","Japanese High School",0,NA
"454","Jungle Grunge",0,NA
"455","Kawaii",0,NA
"456","Kawaii Gamer",0,NA
"457","Key West Kitten",0,NA
"458","Kid Science",0,NA
"459","Kimoicore",0,NA
"460","King Gas",0,NA
"461","Knightcore",0,NA
"462","La Sape",0,NA
"463","Larme Kei",0,NA
"464","Late 2000s Elementary School",0,NA
"465","Libertywave",0,"neg"
"466","Lightningwave",0,NA
"467","Lil Girl",0,NA
"468","Liminal Space",0,NA
"469","Lit Kid",0,NA
"470","Lobotomy-Chic",0,NA
"471","Lolita",0,NA
"472","Lunarpunk",0,NA
"473","Macaute",0,NA
"474","Magewave",0,NA
"475","Maidcore",0,NA
"476","Mall Ninja",0,NA
"477","Meatcore",0,NA
"478","MTV Green Sky",0,NA
"479","Metrosexual",0,NA
"480","Miami Metro",0,NA
"481","Midwest Emo",0,NA
"482","Midwest Gothic",0,NA
"483","Military",0,NA
"484","Minivan Rock",0,NA
"485","Miscellaneous Academia",0,NA
"486","Mizuiro Kaiwai",0,NA
"487","Modern Brazil",0,NA
"488","Mori Kei",0,NA
"489","Mote Kei",0,NA
"490","Mulchcore",0,NA
"491","Nanopunk",0,NA
"492","Nazi Chic",0,NA
"493","New England Gothic",0,NA
"494","New Age",0,NA
"495","New Money",0,NA
"496","New Romantic",0,NA
"497","New Wave",0,NA
"498","Nihilcore",0,NA
"499","Nintencore",0,NA
"500","Northerness",0,NA
"501","Ocean Academia",0,NA
"502","Ocean Grunge",0,NA
"503","Old Hollywood",0,NA
"504","Old Memecore",0,NA
"505","Old Money",0,NA
"506","Old Web",0,NA
"507","Onii Kei",0,NA
"508","Oshare Kei",0,NA
"509","Pale Grunge",0,NA
"510","Paramilitary",0,NA
"511","Party Animal",0,NA
"512","Party Kei",0,NA
"513","Pastel",0,NA
"514","Pastel Academia",0,NA
"515","Pastel Goth",0,NA
"516","Pastel Punk",0,NA
"517","PC Music",0,NA
"518","Peoplehood",0,NA
"519","Photorealism",0,NA
"520","Pink Princess",0,NA
"521","Pop",0,NA
"522","Pop Kei",0,NA
"523","Powwow Step",0,NA
"524","Prehistoricore",0,NA
"525","Progressive Academia",0,NA
"526","Punk",0,NA
"527","Queer Academia",0,NA
"528","Racaille",0,NA
"529","Rainy Day",0,NA
"530","Randumb",0,NA
"531","Rangercore",0,NA
"532","Real Life Super Hero",0,NA
"533","Realism",0,NA
"534","Reefwave",0,NA
"535","Regional Gothic",0,NA
"536","Robotics Kid",0,NA
"537","Rock",0,NA
"538","Roguecore",0,NA
"539","Roma",0,NA
"540","Romantic Goth",0,NA
"541","Romantic Italian",0,NA
"542","Rotcore",0,NA
"543","Sad people",0,NA
"544","Salon Kei",0,NA
"545","Sandalpunk",0,NA
"546","Schizowave",0,NA
"547","Selkiecore",0,NA
"548","Shabby Chic",0,NA
"549","Shā mǎ tè",0,NA
"550","Shibuya Punk",0,NA
"551","Shironuri",0,"neg"
"552","Sigilkore",0,NA
"553","Sizz",0,NA
"554","Sleepycore",0,NA
"555","Slimepunk",0,NA
"556","Slutcore",0,NA
"557","Snow Bunny",0,NA
"558","Soft Grunge",0,NA
"559","Soft indie",0,NA
"560","Soft Macabre",0,NA
"561","Soggy",0,"neg"
"562","Southern Belle",0,"neg"
"563","Southern Gothic",0,NA
"564","Sovietwave",0,NA
"565","Space Cowboy",0,NA
"566","Spiritcore",0,NA
"567","Spy fiction",0,NA
"568","Starrflesh",0,NA
"569","Stilyagi",0,NA
"570","Stimwave",0,NA
"571","Stripcore",0,NA
"572","Suburban Gothic",0,NA
"573","Sukeban",0,NA
"574","Superflat Pop",0,NA
"575","Surf Crush",0,NA
"576","Surreal Memer",0,NA
"577","Swenkas",0,NA
"578","Swordpunk",0,NA
"579","Takenokozoku",0,NA
"580","Tanbi Kei",0,NA
"581","Technozen",0,NA
"582","Teenqueen",0,NA
"583","Terrorwave",0,NA
"584","Teslapunk",0,NA
"585","That Girl",0,NA
"586","Theatre Academia",0,NA
"587","Theatre Kids",0,NA
"588","Tinkercore",0,NA
"589","Tinycore",0,NA
"590","Trad Goth",0,NA
"591","Trailer Park Princess",0,NA
"592","Trendercore",0,NA
"593","Trillwave",0,NA
"594","Tumblewave",0,NA
"595","Tupinipunk",0,NA
"596","Urban Fantasy",0,NA
"597","Utopian Scholastic",0,NA
"598","VARIOUSXYZ",0,NA
"599","Valentine's Day",0,NA
"600","Vectorbloom",0,NA
"601","Vectorheart",0,NA
"602","Vibrant Academia",0,NA
"603","Victorian",0,NA
"604","Victorian Goth",0,NA
"605","Vintage British Sportsman",0,NA
"606","Vintage Parisian",0,NA
"607","Visual Kei",0,NA
"608","Voidpunk",0,NA
"609","Vorticism",0,NA
"610","Weathercore",0,NA
"611","Web Creep",0,NA
"612","Weeaboo",0,NA
"613","Wild Child",0,NA
"614","Winter Fairy Coquette",0,NA
"615","Witchy Academia",0,NA
"616","Witch House",0,NA
"617","Wizardcore",0,NA
"618","Woodland Goth",0,NA
"619","Writer Academia",0,NA
"620","Wuxia",0,NA
"621","Yami Kawaii",0,NA
"622","Yankeecore",0,NA
"623","Youthquake",0,NA
"624","Yume Kawaii",0,NA
"625","Zombie Apocalypse",0,NA
"626","Adventure Pulp",0,NA
"627","Agropeople",0,NA
"628","Anglo Gothic",0,NA
"629","Animecore",0,NA
"630","Antique Grunge",0,NA
"631","Art Academia",0,NA
"632","Arts and Crafts Movement",0,NA
"633","Art Nouveau",0,NA
"634","Bookstore Girl",0,NA
"635","Brocore",0,NA
"636","Bubblegum Witch",0,NA
"637","Cartelcore",0,NA
"638","Changelingcore",0,NA
"639","Chic Modernist",0,NA
"640","Classic Academia",0,NA
"641","Clockpunk",0,NA
"642","Common White Girl",0,NA
"643","Cuddle Party",0,NA
"644","Cultcore",0,NA
"645","CyberneticPunk",0,NA
"646","Cyberprep",0,NA
"647","Dark Naturalism",0,NA
"648","De Stijl",0,NA
"649","Desi Romantic Academia",0,NA
"650","Downtown Girl",0,NA
"651","Ethereal",0,NA
"652","Europunk",0,NA
"653","Fantasy",0,NA
"654","Folk Punk",0,NA
"655","Futurism",0,NA
"656","Goblin Academia",0,NA
"657","Green Academia",0,NA
"658","Hustlewave",0,NA
"659","Imaginarium",0,NA
"660","Indicolite",0,NA
"661","Karasu Zoku",0,NA
"662","Laborwave",0,NA
"663","Light Academia",0,NA
"664","Memphis",0,NA
"665","Miniaturecore",0,NA
"666","Mod",0,NA
"667","Musical Academia",0,NA
"668","Neo-Romanism",0,NA
"669","Night Luxe",0,NA
"670","Pink Pilates Princess",0,NA
"671","Pop Art",0,NA
"672","Quality Tumblr",0,NA
"673","Romantic Academia",0,NA
"674","Science Academia",0,NA
"675","Soft Apocalypse",0,NA
"676","Helvetica Aqua Aero",0,NA
"677","NATOwave",0,NA
"678","Rocketpunk",0,NA
"679","Autumn Academia",0,NA
"680","Femcel Weeaboo",0,NA
"681","Art Hoe",0,NA
