"","aesthetic","etsy_results","date"
"1","80s heart-throb",NA,"2023-06-13"
"2","1950s Suburbia",NA,"2023-06-13"
"3","2000s Autumn",2,"2023-06-13"
"4","2010s Internet",NA,"2023-06-13"
"5","2014-era tumblr",NA,"2023-06-13"
"6","2014 Girly",1,"2023-06-13"
"7","2020 Alt",142,"2023-06-13"
"8","2K1",NA,"2023-06-13"
"9","2K7",NA,"2023-06-13"
"10","2 Tone",704,"2023-06-13"
"11","80s Ballroom",NA,"2023-06-13"
"12","Abstract Tech",1167,"2023-06-13"
"13","Acid Pixie",NA,"2023-06-13"
"14","Acidwave",NA,"2023-06-13"
"15","Acubi",6,"2023-06-13"
"16","Adventure Pulp",1,"2023-06-13"
"17","Adventurecore",15,"2023-06-13"
"18","Aetherpunk",NA,"2023-06-13"
"19","Afro-Victorian",NA,"2023-06-13"
"20","Afrofuturism",6,"2023-06-13"
"21","After Hours",101,"2023-06-13"
"22","Agropeople",NA,"2023-06-13"
"23","Ah Beng",NA,"2023-06-13"
"24","Alien",757,"2023-06-13"
"25","Alternative",1690,"2023-06-13"
"26","Amateur Photography",NA,"2023-06-13"
"27","American Pioneers",NA,"2023-06-13"
"28","American Revolution",3,"2023-06-13"
"29","American Thanksgiving",69,"2023-06-13"
"30","American Tourist Traps",NA,"2023-06-13"
"31","Americana",181,"2023-06-13"
"32","Analog Horror",NA,"2023-06-13"
"33","Ancient Egypt",192,"2023-06-13"
"34","Androgynous",30,"2023-06-13"
"35","Angelcore",168,"2023-06-13"
"36","Anglo Gothic",NA,"2023-06-13"
"37","Anglocore",NA,"2023-06-13"
"38","Angura",NA,"2023-06-13"
"39","Animecore",17,"2023-06-13"
"40","Anoncore",NA,"2023-06-13"
"41","Anti-Fashion",NA,"2023-06-13"
"42","Antique Grunge",50,"2023-06-13"
"43","Arabfunny",NA,"2023-06-13"
"44","Arcade",360,"2023-06-13"
"45","Arcadecore",NA,"2023-06-13"
"46","Art Academia",10777,"2023-06-13"
"47","Art Deco",27305,"2023-06-13"
"48","Art Hoe",114,"2023-06-13"
"49","Art Nouveau",3854,"2023-06-13"
"50","Artcore",4,"2023-06-13"
"51","Artificial Nature",7,"2023-06-13"
"52","Arts and Crafts Movement",62,"2023-06-13"
"53","Asian Baby Girl",9,"2023-06-13"
"54","Athlete",89,"2023-06-13"
"55","Atompunk",2,"2023-06-13"
"56","Auroracore",NA,"2023-06-13"
"57","Australian Outback",4,"2023-06-13"
"58","Australiana",4,"2023-06-13"
"59","Autumn",5544,"2023-06-13"
"60","Autumn Academia",306,"2023-06-13"
"61","Avant-garde",118,"2023-06-13"
"62","Avant Apocalypse",NA,"2023-06-13"
"63","Azure",54,"2023-06-13"
"64","B-Movie Horror",3,"2023-06-13"
"65","BDSM",129,"2023-06-13"
"66","Babycore",4,"2023-06-13"
"67","Babygirl",24,"2023-06-13"
"68","Back-to-School",17,"2023-06-13"
"69","Baddie",509,"2023-06-13"
"70","Baidexweb",NA,"2023-06-13"
"71","Bakala",NA,"2023-06-13"
"72","Ballet Academia",20,"2023-06-13"
"73","Balletcore",60,"2023-06-13"
"74","Baltic Violence Tumblr",NA,"2023-06-13"
"75","Barbiecore",135,"2023-06-13"
"76","Bardcore",NA,"2023-06-13"
"77","Baroque",860,"2023-06-13"
"78","Bastardcore",NA,"2023-06-13"
"79","Bauhaus",2126,"2023-06-13"
"80","Beach Bunny",15,"2023-06-13"
"81","Beach Day",1713,"2023-06-13"
"82","Beach girl",1829,"2023-06-13"
"83","Beatnik",3,"2023-06-13"
"84","Biker",294,"2023-06-13"
"85","Bimbocore",12,"2023-06-13"
"86","Biopunk",2,"2023-06-13"
"87","Bizarro Fiction",NA,"2023-06-13"
"88","Black-Holed Meme",NA,"2023-06-13"
"89","Black Metal",2793,"2023-06-13"
"90","Bleak Crush",NA,"2023-06-13"
"91","Blokecore",NA,"2023-06-13"
"92","Blokette",NA,"2023-06-13"
"93","Bloomcore",61,"2023-06-13"
"94","Blue Night",1347,"2023-06-13"
"95","Bodikon",NA,"2023-06-13"
"96","Bohemian",41958,"2023-06-13"
"97","Bombacore",NA,"2023-06-13"
"98","Bookstore Girl",10,"2023-06-13"
"99","Bosozoku",4,"2023-06-13"
"100","Boujee",1049,"2023-06-13"
