"","aesthetic","depop_results","date"
"1","1950s Suburbia",NA,"2023-03-19"
"2","2-Tone",334,"2023-03-19"
"3","2000s Autumn",NA,"2023-03-19"
"4","2014-era tumblr",NA,"2023-03-19"
"5","2014 Girly Tumblr",NA,"2023-03-19"
"6","2020 Alt",NA,"2023-03-19"
"7","2K Animecore",NA,"2023-03-19"
"8","2K1",NA,"2023-03-19"
"9","2K7",NA,"2023-03-19"
"10","80s Ballroom",3,"2023-03-19"
"11","Abstract Tech",NA,"2023-03-19"
"12","Acid Pixie",NA,"2023-03-19"
"13","Acidwave",4,"2023-03-19"
"14","Acubi",133,"2023-03-19"
"15","Adventurecore",36,"2023-03-19"
"16","Adventure Pulp",NA,"2023-03-19"
"17","Aetherpunk",NA,"2023-03-19"
"18","Afrofuturism",NA,"2023-03-19"
"19","Afro-Victorian",1,"2023-03-19"
"20","After Hours",257,"2023-03-19"
"21","Agropeople",NA,"2023-03-19"
"22","Ah Beng",NA,"2023-03-19"
"23","Alien",514,"2023-03-19"
"24","Alternative",8965,"2023-03-19"
"25","Americana",13,"2023-03-19"
"26","American Pioneers",NA,"2023-03-19"
"27","American Revolution",NA,"2023-03-19"
"28","American Thanksgiving",NA,"2023-03-19"
"29","American Tourist Traps",NA,"2023-03-19"
"30","Analog Horror",NA,"2023-03-19"
"31","Ancient Egypt",22,"2023-03-19"
"32","Androgynous",359,"2023-03-19"
"33","Angelcore",1412,"2023-03-19"
"34","Anglocore",1246,"2023-03-19"
"35","Anglo Gothic",NA,"2023-03-19"
"36","Angura",49,"2023-03-19"
"37","Animecore",NA,"2023-03-19"
"38","Anti-Fashion",31,"2023-03-19"
"39","Antique Grunge",NA,"2023-03-19"
"40","Arcade",NA,"2023-03-19"
"41","Arcadecore",NA,"2023-03-19"
"42","Art Academia",NA,"2023-03-19"
"43","Art Deco",NA,"2023-03-19"
"44","Art Hoe",NA,"2023-03-19"
"45","Art Nouveau",NA,"2023-03-19"
"46","Arts and Crafts Movement",NA,"2023-03-19"
"47","Asian Baby Girl",NA,"2023-03-19"
"48","Athlete",262,"2023-03-19"
"49","Atompunk",1,"2023-03-19"
"50","Auroracore",4,"2023-03-19"
"51","Australiana",81,"2023-03-19"
"52","Australian Outback",NA,"2023-03-19"
"53","Autumn",4,"2023-03-19"
"54","Autumn Academia",NA,"2023-03-19"
"55","Avant Apocalypse",NA,"2023-03-19"
"56","Avant-garde",1780,"2023-03-19"
"57","Babycore",209,"2023-03-19"
"58","Babygirl",3795,"2023-03-19"
"59","Back-to-School",763,"2023-03-19"
"60","Baddie",4501,"2023-03-19"
"61","Ballet Academia",NA,"2023-03-19"
"62","Balletcore",1695,"2023-03-19"
"63","Baltic Violence Tumblr",NA,"2023-03-19"
"64","Barbiecore",352,"2023-03-19"
"65","Bardcore",1,"2023-03-19"
"66","Baroque",249,"2023-03-19"
"67","Bastardcore",1,"2023-03-19"
"68","Bauhaus",7,"2023-03-19"
"69","BDSM",71,"2023-03-19"
"70","Beach Bunny",NA,"2023-03-19"
"71","Beach Day",NA,"2023-03-19"
"72","Beatnik",17,"2023-03-19"
"73","Biker",2133,"2023-03-19"
"74","Bimbocore",209,"2023-03-19"
"75","Biopunk",364,"2023-03-19"
"76","Bizarro Fiction",NA,"2023-03-19"
"77","Black-Holed Meme",NA,"2023-03-19"
"78","Bloomcore",64,"2023-03-19"
"79","Bodikon",3,"2023-03-19"
"80","Bohemian",8239,"2023-03-19"
"81","Bombacore",138,"2023-03-19"
"82","Bookstore Girl",NA,"2023-03-19"
"83","Bosozoku",NA,"2023-03-19"
"84","Boujee",310,"2023-03-19"
"85","Breakcore",3,"2023-03-19"
"86","Britpop",65,"2023-03-19"
"87","Bro",NA,"2023-03-19"
"88","Bronzepunk",1,"2023-03-19"
"89","Bubble Bujo",NA,"2023-03-19"
"90","Bubble Goth",NA,"2023-03-19"
"91","Bubblegum Bitch",5,"2023-03-19"
"92","Bubblegum Witch",NA,"2023-03-19"
"93","Cabincore",158,"2023-03-19"
"94","Cagole",20,"2023-03-19"
"95","Camp",3,"2023-03-19"
"96","Campcore",7,"2023-03-19"
"97","Cargopunk",5,"2023-03-19"
"98","Carnivalcore",NA,"2023-03-19"
"99","Cartelcore",NA,"2023-03-19"
"100","Cartooncore",2,"2023-03-19"
"101","Casino",56,"2023-03-19"
"102","Cassette Futurism",NA,"2023-03-19"
"103","Celtic",270,"2023-03-19"
"104","Changelingcore",NA,"2023-03-19"
"105","Chaotic Academia",NA,"2023-03-19"
"106","Chav",1,"2023-03-19"
"107","Cheiron Crush",NA,"2023-03-19"
"108","Cherry Emoji Twitter",NA,"2023-03-19"
"109","Chic Modernist",NA,"2023-03-19"
"110","Cholo",6,"2023-03-19"
"111","Christcore",1,"2023-03-19"
"112","Christian Girl Autumn",NA,"2023-03-19"
"113","Christmas",2777,"2023-03-19"
"114","Chunyu",NA,"2023-03-19"
"115","City Pop",NA,"2023-03-19"
"116","Classic Academia",NA,"2023-03-19"
"117","Classicism",NA,"2023-03-19"
"118","Classic Lolita",NA,"2023-03-19"
"119","Cleancore",274,"2023-03-19"
"120","Clockpunk",NA,"2023-03-19"
"121","Clowncore",318,"2023-03-19"
"122","Club",NA,"2023-03-19"
"123","Club Kids",NA,"2023-03-19"
"124","Coastal Grandmother",206,"2023-03-19"
"125","Coffee House/Cafe",1,"2023-03-19"
"126","Coffinwood",NA,"2023-03-19"
"127","Comfy/Cozy",1282,"2023-03-19"
"128","Common White Girl",NA,"2023-03-19"
"129","Concore",3,"2023-03-19"
"130","Constructivism",3,"2023-03-19"
"131","Corporate",NA,"2023-03-19"
"132","Corporate Memphis",NA,"2023-03-19"
"133","Corporate Punk",NA,"2023-03-19"
"134","Cottagecore",23831,"2023-03-19"
"135","Cottagegore",18534,"2023-03-19"
"136","Coquette",137,"2023-03-19"
"137","Coquette Academia",NA,"2023-03-19"
"138","Country",1002,"2023-03-19"
"139","Cozy Childhood Hideaway",NA,"2023-03-19"
"140","C-Pop",35,"2023-03-19"
"141","Crackhead",107,"2023-03-19"
"142","Craftcore",18,"2023-03-19"
"143","Cripplepunk",NA,"2023-03-19"
"144","Crowcore",14,"2023-03-19"
"145","Crustpunk",20,"2023-03-19"
"146","Cryptid Academia",NA,"2023-03-19"
"147","Cryptidcore",3,"2023-03-19"
"148","Cubism",3,"2023-03-19"
"149","Cuddle Party",NA,"2023-03-19"
"150","Cultcore",NA,"2023-03-19"
"151","Cult Party Kei",NA,"2023-03-19"
"152","Cutecore",345,"2023-03-19"
"153","Cyberdelic",2,"2023-03-19"
"154","Cyber Fairy Grunge",NA,"2023-03-19"
"155","Cyberghetto",69,"2023-03-19"
"156","Cybergoth",795,"2023-03-19"
"157","Cybergrunge",324,"2023-03-19"
"158","CyberneticPunk",NA,"2023-03-19"
"159","Cyberparadism",NA,"2023-03-19"
"160","Cyberpop",6,"2023-03-19"
"161","Cyberprep",3,"2023-03-19"
"162","Cyberpunk",950,"2023-03-19"
"163","Cyber Stylin’",NA,"2023-03-19"
"164","Danish Pastel",1,"2023-03-19"
"165","Dark Academia",NA,"2023-03-19"
"166","Darkcore",7,"2023-03-19"
"167","DarkErrorcore",NA,"2023-03-19"
"168","Darkest Academia",NA,"2023-03-19"
"169","Dark Fantasy",NA,"2023-03-19"
"170","Dark Naturalism",NA,"2023-03-19"
"171","Dark Nautical",NA,"2023-03-19"
"172","Dark Nymphet",NA,"2023-03-19"
"173","Dark Paradise",NA,"2023-03-19"
"174","Daydreampunk",1,"2023-03-19"
"175","Dazecore",3,"2023-03-19"
"176","Deathcore",80,"2023-03-19"
"177","Deathrock",11,"2023-03-19"
"178","Decopunk",5,"2023-03-19"
"179","Decora",3318,"2023-03-19"
"180","Delicate Sweet",104,"2023-03-19"
"181","Desertwave",5,"2023-03-19"
"182","Desi Romantic Academia",NA,"2023-03-19"
"183","De Stijl",NA,"2023-03-19"
"184","Dethereal",NA,"2023-03-19"
"185","Devilcore",30,"2023-03-19"
"186","Dieselpunk",4,"2023-03-19"
"187","Diner",511,"2023-03-19"
"188","Dionysism",1,"2023-03-19"
"189","Disco",4,"2023-03-19"
"190","Dollar store vernacular",NA,"2023-03-19"
"191","Dollette",2732,"2023-03-19"
"192","Dolly Kei",NA,"2023-03-19"
"193","Doodlecore",1,"2023-03-19"
"194","Downtown Girl",NA,"2023-03-19"
"195","Dracopunk",5,"2023-03-19"
"196","Dragoncore",5,"2023-03-19"
"197","Drain",488,"2023-03-19"
"198","Dreamcore",64,"2023-03-19"
"199","Dreamy",1939,"2023-03-19"
"200","Drugcore",NA,"2023-03-19"
"201","Dual Kawaii",NA,"2023-03-19"
"202","Dullcore",447,"2023-03-19"
"203","Dungeon Synth",NA,"2023-03-19"
"204","Earthcore",842,"2023-03-19"
"205","E-Boy",4913,"2023-03-19"
"206","E-Girl",17918,"2023-03-19"
"207","ElectroPop 08",NA,"2023-03-19"
"208","Electro Swing",NA,"2023-03-19"
"209","Elizabethan England",NA,"2023-03-19"
"210","Emo",NA,"2023-03-19"
"211","English Major",12,"2023-03-19"
"212","Equestrian",110,"2023-03-19"
"213","Erokawa",NA,"2023-03-19"
"214","Eshay",8,"2023-03-19"
"215","Ethereal",NA,"2023-03-19"
"216","Europunk",NA,"2023-03-19"
"217","Expressionism",21,"2023-03-19"
"218","Fairy Academia",NA,"2023-03-19"
"219","Fairycore",13277,"2023-03-19"
"220","Fairy Grunge",NA,"2023-03-19"
"221","Fairy Kei",NA,"2023-03-19"
"222","Fairy Tale",NA,"2023-03-19"
"223","Fanfare",1,"2023-03-19"
"224","Fantasy",NA,"2023-03-19"
"225","Fantasy Astronomy",NA,"2023-03-19"
"226","FantasY2K",1192,"2023-03-19"
"227","Farmers Daughter",42,"2023-03-19"
"228","Fashwave",NA,"2023-03-19"
"229","Fauvism",NA,"2023-03-19"
"230","Femboy",12,"2023-03-19"
"231","Femcel Weeaboo",NA,"2023-03-19"
"232","Femme Fatale",100,"2023-03-19"
"233","Feralcore",16,"2023-03-19"
"234","Film Noir",24,"2023-03-19"
"235","Flapper",55,"2023-03-19"
"236","Flat Design",NA,"2023-03-19"
"237","Folk Punk",NA,"2023-03-19"
"238","Foodie",15,"2023-03-19"
"239","Forestpunk",54,"2023-03-19"
"240","French Girl",NA,"2023-03-19"
"241","French Girly",18,"2023-03-19"
"242","Frogcore",23,"2023-03-19"
"243","Frutiger Aero",NA,"2023-03-19"
"244","Frutiger Eco",NA,"2023-03-19"
"245","Frutiger Metro",NA,"2023-03-19"
"246","Funky Seasons",51,"2023-03-19"
"247","Furry",310,"2023-03-19"
"248","Futurism",NA,"2023-03-19"
"249","Gadgetpunk",NA,"2023-03-19"
"250","Game Night",NA,"2023-03-19"
"251","Gamercore",NA,"2023-03-19"
"252","Gamine",184,"2023-03-19"
"253","Geek",80,"2023-03-19"
"254","Gen X Soft Club",NA,"2023-03-19"
"255","Ghostcore",12,"2023-03-19"
"256","Girl-Next-Door",52,"2023-03-19"
"257","Glam Girl",NA,"2023-03-19"
"258","Glamorous Los Angeles",NA,"2023-03-19"
"259","Glam Rock",NA,"2023-03-19"
"260","Glitchcore",30,"2023-03-19"
"261","Gloomcore",12,"2023-03-19"
"262","Glowwave",NA,"2023-03-19"
"263","Goblin Academia",NA,"2023-03-19"
"264","Goblincore",1795,"2023-03-19"
"265","Golden Age of Detective Fiction",NA,"2023-03-19"
"266","Golden Hour",NA,"2023-03-19"
"267","Gopnik",3,"2023-03-19"
"268","Gorecore",1252,"2023-03-19"
"269","Gorpcore",1256,"2023-03-19"
"270","Goth",NA,"2023-03-19"
"271","Gothcore",272,"2023-03-19"
"272","Gothic",NA,"2023-03-19"
"273","Gothic Lolita",NA,"2023-03-19"
"274","Grandmillenial",22,"2023-03-19"
"275","Grandparentcore",13,"2023-03-19"
"276","Greaser",48,"2023-03-19"
"277","Green Academia",NA,"2023-03-19"
"278","Grifes",11,"2023-03-19"
"279","Grindhouse",NA,"2023-03-19"
"280","Groundcore",11,"2023-03-19"
"281","Grunge",NA,"2023-03-19"
"282","Gurokawa",12,"2023-03-19"
"283","Gyaru",573,"2023-03-19"
"284","Hackercore",1,"2023-03-19"
"285","Halloween",3596,"2023-03-19"
"286","Hallyu",1,"2023-03-19"
"287","Happycore",12,"2023-03-19"
"288","Hatecore",NA,"2023-03-19"
"289","Hauntology",NA,"2023-03-19"
"290","Haussmann Paris",NA,"2023-03-19"
"291","Health Goth",NA,"2023-03-19"
"292","Heatwave",5,"2023-03-19"
"293","Heistcore",2,"2023-03-19"
"294","Hellenic",3,"2023-03-19"
"295","Helvetica Aqua Aero",NA,"2023-03-19"
"296","Hermaphroditus",NA,"2023-03-19"
"297","Hermitpunk",NA,"2023-03-19"
"298","Hexatron",NA,"2023-03-19"
"299","High School Dream",NA,"2023-03-19"
"300","Hikecore",2,"2023-03-19"
"301","Hime Lolita",NA,"2023-03-19"
"302","Hi-NRG",NA,"2023-03-19"
"303","Hip-Hop",1162,"2023-03-19"
"304","Hipness Purgatory",NA,"2023-03-19"
"305","Hippie",18691,"2023-03-19"
"306","Hipster",4162,"2023-03-19"
"307","Historical Americana",13,"2023-03-19"
"308","Holosexual",7,"2023-03-19"
"309","Honeycore",101,"2023-03-19"
"310","Horror",NA,"2023-03-19"
"311","Horror Academia",NA,"2023-03-19"
"312","Hot Topic",NA,"2023-03-19"
"313","Hustlewave",NA,"2023-03-19"
"314","Hydrogen",3,"2023-03-19"
"315","Hyperpop",44,"2023-03-19"
"316","Icepunk",NA,"2023-03-19"
"317","Imaginarium",NA,"2023-03-19"
"318","Impressionism",NA,"2023-03-19"
"319","Indicolite",NA,"2023-03-19"
"320","Indie",NA,"2023-03-19"
"321","Indiecraft",NA,"2023-03-19"
"322","Indie Kid",NA,"2023-03-19"
"323","Indie Sleaze",NA,"2023-03-19"
"324","Internet Academia",NA,"2023-03-19"
"325","I-spy",9,"2023-03-19"
"326","Italian Mafia",NA,"2023-03-19"
"327","Italian Renaissance",NA,"2023-03-19"
"328","Italo Disco",4,"2023-03-19"
"329","Jamcore",NA,"2023-03-19"
"330","Jersey Shore",134,"2023-03-19"
"331","Joyride",1,"2023-03-19"
"332","Juggalo",4,"2023-03-19"
"333","Junglecore",4,"2023-03-19"
"334","Jungle Grunge",NA,"2023-03-19"
"335","Karasu Zoku",NA,"2023-03-19"
"336","Kawaii",NA,"2023-03-19"
"337","Kawaii Gamer",NA,"2023-03-19"
"338","Key West Kitten",NA,"2023-03-19"
"339","Kidcore",7713,"2023-03-19"
"340","Kid Science",NA,"2023-03-19"
"341","Kimoicore",NA,"2023-03-19"
"342","Kinderwhore",674,"2023-03-19"
"343","Kingcore",15,"2023-03-19"
"344","King Gas",NA,"2023-03-19"
"345","Kiwiana",NA,"2023-03-19"
"346","Knightcore",NA,"2023-03-19"
"347","Kogal",15,"2023-03-19"
"348","Korean Cozy Beige",NA,"2023-03-19"
"349","Kuromicore",29,"2023-03-19"
"350","Labcore",2,"2023-03-19"
"351","Laborwave",NA,"2023-03-19"
"352","Lagenlook",161,"2023-03-19"
"353","Larme Kei",NA,"2023-03-19"
"354","La Sape",NA,"2023-03-19"
"355","Late 2000s Elementary School",NA,"2023-03-19"
"356","Libertywave",NA,"2023-03-19"
"357","Light Academia",NA,"2023-03-19"
"358","Lightcore",2,"2023-03-19"
"359","Lightningwave",NA,"2023-03-19"
"360","Lil Girl",NA,"2023-03-19"
"361","Liminal Space",NA,"2023-03-19"
"362","Lit Kid",NA,"2023-03-19"
"363","Lobotomy-Chic",NA,"2023-03-19"
"364","Lo-Fi",434,"2023-03-19"
"365","Lolita",NA,"2023-03-19"
"366","Long Island",53,"2023-03-19"
"367","Lounge",5332,"2023-03-19"
"368","Lovecore",987,"2023-03-19"
"369","Lunarpunk",NA,"2023-03-19"
"370","Macaute",NA,"2023-03-19"
"371","Mad Scientist",2,"2023-03-19"
"372","Magewave",NA,"2023-03-19"
"373","Magical Girls",210,"2023-03-19"
"374","Maidcore",NA,"2023-03-19"
"375","Mallgoth",2357,"2023-03-19"
"376","Mall Ninja",NA,"2023-03-19"
"377","Maximalism",1664,"2023-03-19"
"378","McBling",811,"2023-03-19"
"379","Meatcore",NA,"2023-03-19"
"380","Medicalcore",2,"2023-03-19"
"381","Medieval",804,"2023-03-19"
"382","Memphis",NA,"2023-03-19"
"383","Mermaid",1501,"2023-03-19"
"384","Metal",1,"2023-03-19"
"385","Metalcore",31,"2023-03-19"
"386","Metalheart",33,"2023-03-19"
"387","Metrosexual",NA,"2023-03-19"
"388","Miami Metro",NA,"2023-03-19"
"389","Midwest Emo",NA,"2023-03-19"
"390","Midwest Gothic",NA,"2023-03-19"
"391","Military",NA,"2023-03-19"
"392","Milk",455,"2023-03-19"
"393","Mind Murder",9,"2023-03-19"
"394","Miniaturecore",NA,"2023-03-19"
"395","Minimalism",11467,"2023-03-19"
"396","Minivan Rock",NA,"2023-03-19"
"397","Miscellaneous Academia",NA,"2023-03-19"
"398","Mizuiro",1,"2023-03-19"
"399","Mod",2,"2023-03-19"
"400","Modernism",78,"2023-03-19"
"401","Mori Kei",NA,"2023-03-19"
"402","Morute",8,"2023-03-19"
"403","Mosscore",7,"2023-03-19"
"404","Mote Kei",NA,"2023-03-19"
"405","MS Paint",NA,"2023-03-19"
"406","MTV Green Sky",NA,"2023-03-19"
"407","Mulchcore",NA,"2023-03-19"
"408","Mushroomcore",92,"2023-03-19"
"409","Musical Academia",NA,"2023-03-19"
