"","aesthetic","etsy_results","date"
"1","1950s Suburbia",NA,"2023-05-25"
"2","80s Heartthrob",NA,"2023-05-25"
"3","2-Tone",7,"2023-05-25"
"4","2000s Autumn",2,"2023-05-25"
"5","2010s Internet",NA,"2023-05-25"
"6","2014-era tumblr",NA,"2023-05-25"
"7","2014 Girly Tumblr",NA,"2023-05-25"
"8","2020 Alt",151,"2023-05-25"
"9","2K1",NA,"2023-05-25"
"10","2K7",NA,"2023-05-25"
"11","80s Ballroom",NA,"2023-05-25"
"12","Abstract Tech",1160,"2023-05-25"
"13","Acid Pixie",NA,"2023-05-25"
"14","Acidwave",NA,"2023-05-25"
"15","Acubi",3,"2023-05-25"
"16","Adventurecore",16,"2023-05-25"
"17","Adventure Pulp",1,"2023-05-25"
"18","Aetherpunk",NA,"2023-05-25"
"19","Afrofuturism",3,"2023-05-25"
"20","Afro-Victorian",NA,"2023-05-25"
"21","After Hours",101,"2023-05-25"
"22","Agropeople",NA,"2023-05-25"
"23","Ah Beng",NA,"2023-05-25"
"24","Alien",691,"2023-05-25"
"25","Alternative",1639,"2023-05-25"
"26","Americana",175,"2023-05-25"
"27","American Pioneers",NA,"2023-05-25"
"28","American Revolution",2,"2023-05-25"
"29","American Thanksgiving",68,"2023-05-25"
"30","American Tourist Traps",NA,"2023-05-25"
"31","Analog Horror",NA,"2023-05-25"
"32","Ancient Egypt",184,"2023-05-25"
"33","Androgynous",28,"2023-05-25"
"34","Angelcore",168,"2023-05-25"
"35","Anglocore",NA,"2023-05-25"
"36","Anglo Gothic",NA,"2023-05-25"
"37","Angura",NA,"2023-05-25"
"38","Animecore",24,"2023-05-25"
"39","Anoncore",NA,"2023-05-25"
"40","Anti-Fashion",NA,"2023-05-25"
"41","Antique Grunge",48,"2023-05-25"
"42","Arcade",335,"2023-05-25"
"43","Arcadecore",NA,"2023-05-25"
"44","Art Academia",10331,"2023-05-25"
"45","Artcore",4,"2023-05-25"
"46","Art Deco",27495,"2023-05-25"
"47","Art Hoe",93,"2023-05-25"
"48","Art Nouveau",3549,"2023-05-25"
"49","Artificial Nature",6,"2023-05-25"
"50","Arts and Crafts Movement",65,"2023-05-25"
"51","Asian Baby Girl",9,"2023-05-25"
"52","Athlete",92,"2023-05-25"
"53","Atompunk",2,"2023-05-25"
"54","Auroracore",NA,"2023-05-25"
"55","Australiana",5,"2023-05-25"
"56","Australian Outback",4,"2023-05-25"
"57","Autumn",5433,"2023-05-25"
"58","Autumn Academia",302,"2023-05-25"
"59","Avant Apocalypse",NA,"2023-05-25"
"60","Avant-garde",119,"2023-05-25"
"61","Babycore",2,"2023-05-25"
"62","Babygirl",24,"2023-05-25"
"63","Back-to-School",16,"2023-05-25"
"64","Baddie",507,"2023-05-25"
"65","Ballet Academia",20,"2023-05-25"
"66","Balletcore",58,"2023-05-25"
"67","Baltic Violence Tumblr",NA,"2023-05-25"
"68","Barbiecore",124,"2023-05-25"
"69","Bardcore",NA,"2023-05-25"
"70","Baroque",841,"2023-05-25"
"71","Bastardcore",NA,"2023-05-25"
"72","Bauhaus",1975,"2023-05-25"
"73","BDSM",132,"2023-05-25"
"74","Beach Bunny",18,"2023-05-25"
"75","Beach Day",1519,"2023-05-25"
"76","Beach Girl",1606,"2023-05-25"
"77","Beatnik",2,"2023-05-25"
"78","Biker",254,"2023-05-25"
"79","Bimbocore",13,"2023-05-25"
"80","Biopunk",2,"2023-05-25"
"81","Bizarro Fiction",NA,"2023-05-25"
"82","Black Metal",2813,"2023-05-25"
"83","Blokecore",NA,"2023-05-25"
"84","Blokette",NA,"2023-05-25"
"85","Bloomcore",59,"2023-05-25"
"86","Blue Night",1515,"2023-05-25"
"87","Bodikon",NA,"2023-05-25"
"88","Bohemian",40988,"2023-05-25"
"89","Bombacore",NA,"2023-05-25"
"90","Bookstore Girl",10,"2023-05-25"
"91","Bosozoku",4,"2023-05-25"
"92","Boujee",1016,"2023-05-25"
"93","Breakcore",1,"2023-05-25"
"94","Brazilian Pop Bar",1,"2023-05-25"
"95","Britpop",46,"2023-05-25"
"96","Bro",95,"2023-05-25"
"97","Bro Hoe",1,"2023-05-25"
"98","Bronzepunk",NA,"2023-05-25"
"99","Bubble Bujo",6,"2023-05-25"
"100","Bubble Goth",21,"2023-05-25"
