"","aesthetic","etsy_results","date"
"1","80s Heartthrob",NA,"2023-07-28"
"2","1950s Suburbia",NA,"2023-07-28"
"3","2000s Autumn",5,"2023-07-28"
"4","2010s Internet",NA,"2023-07-28"
"5","2014 Girly",1,"2023-07-28"
"6","2014 Tumblr",5,"2023-07-28"
"7","2020 Alt",160,"2023-07-28"
"8","2K1",NA,"2023-07-28"
"9","2K7",NA,"2023-07-28"
"10","2 Tone",718,"2023-07-28"
"11","80s Ballroom",NA,"2023-07-28"
"12","Abstract Tech",1127,"2023-07-28"
"13","Acid Pixie",NA,"2023-07-28"
"14","Acidwave",NA,"2023-07-28"
"15","Acubi",5,"2023-07-28"
"16","Adventure Pulp",1,"2023-07-28"
"17","Adventurecore",13,"2023-07-28"
"18","Aetherpunk",NA,"2023-07-28"
"19","Afro-Victorian",NA,"2023-07-28"
"20","Afrofuturism",7,"2023-07-28"
"21","After Hours",99,"2023-07-28"
"22","Agropeople",NA,"2023-07-28"
"23","Ah Beng",NA,"2023-07-28"
"24","Alien",805,"2023-07-28"
"25","Alternative",1760,"2023-07-28"
"26","Amateur Photography",NA,"2023-07-28"
"27","American Pioneers",1,"2023-07-28"
"28","American Revolution",5,"2023-07-28"
"29","American Thanksgiving",121,"2023-07-28"
"30","American Tourist Traps",NA,"2023-07-28"
"31","Americana",233,"2023-07-28"
"32","Analog Horror",NA,"2023-07-28"
"33","Ancient Egypt",207,"2023-07-28"
"34","Androgynous",33,"2023-07-28"
"35","Angelcore",185,"2023-07-28"
"36","Anglo Gothic",1,"2023-07-28"
"37","Anglocore",NA,"2023-07-28"
"38","Angura",NA,"2023-07-28"
"39","Animecore",13,"2023-07-28"
"40","Anoncore",NA,"2023-07-28"
"41","Anti-Fashion",NA,"2023-07-28"
"42","Antique Grunge",59,"2023-07-28"
"43","Arabfunny",NA,"2023-07-28"
"44","Arcade",364,"2023-07-28"
"45","Arcadecore",NA,"2023-07-28"
"46","Art Academia",13018,"2023-07-28"
"47","Art Deco",29236,"2023-07-28"
"48","Art Hoe",111,"2023-07-28"
"49","Art Nouveau",4509,"2023-07-28"
"50","Artcore",3,"2023-07-28"
"51","Artificial Nature",13,"2023-07-28"
"52","Arts and Crafts Movement",65,"2023-07-28"
"53","Asian Baby Girl",11,"2023-07-28"
"54","Athlete",105,"2023-07-28"
"55","Atompunk",2,"2023-07-28"
"56","Auroracore",NA,"2023-07-28"
"57","Australian Outback",4,"2023-07-28"
"58","Australiana",4,"2023-07-28"
"59","Autumn",6641,"2023-07-28"
"60","Autumn Academia",385,"2023-07-28"
"61","Avant-garde",125,"2023-07-28"
"62","Avant Apocalypse",NA,"2023-07-28"
"63","B-Movie Horror",3,"2023-07-28"
"64","BDSM",121,"2023-07-28"
"65","Babycore",4,"2023-07-28"
"66","Babygirl",20,"2023-07-28"
"67","Back-to-School",21,"2023-07-28"
"68","Baddie",535,"2023-07-28"
"69","Bakala",NA,"2023-07-28"
"70","Ballet Academia",22,"2023-07-28"
"71","Balletcore",68,"2023-07-28"
"72","Baltic Violence Tumblr",NA,"2023-07-28"
"73","Barbiecore",263,"2023-07-28"
"74","Bardcore",NA,"2023-07-28"
"75","Baroque",1058,"2023-07-28"
"76","Basic Girl",79,"2023-07-28"
"77","Bastardcore",NA,"2023-07-28"
"78","Bauhaus",2120,"2023-07-28"
"79","Beach Bunny",15,"2023-07-28"
"80","Beach Day",1714,"2023-07-28"
"81","Beach Girl",2255,"2023-07-28"
"82","Beatnik",3,"2023-07-28"
"83","Belgian Popcorn",NA,"2023-07-28"
"84","Biker",583,"2023-07-28"
"85","Bimbocore",12,"2023-07-28"
"86","Biopunk",1,"2023-07-28"
"87","Bizarro Fiction",NA,"2023-07-28"
"88","Black-Holed Meme",NA,"2023-07-28"
"89","Black Metal",2590,"2023-07-28"
"90","Bleak Crush",NA,"2023-07-28"
"91","Blokecore",NA,"2023-07-28"
"92","Blokette",NA,"2023-07-28"
"93","Bloomcore",65,"2023-07-28"
"94","Blue Night",1495,"2023-07-28"
"95","Bodikon",NA,"2023-07-28"
"96","Bohemian",44787,"2023-07-28"
"97","Bombardier",NA,"2023-07-28"
"98","Bookstore Girl",12,"2023-07-28"
"99","Bosozoku",4,"2023-07-28"
"100","Boujee",1068,"2023-07-28"
