"aesthetic","day_diff_med","aes_wiki_link","rank","main_img"
"Naturecore",0.00204918032786885,"https://aesthetics.fandom.com/wiki/Naturecore",92,"https://static.wikia.nocookie.net/aesthetics/images/1/1f/CD8A6A3B-DA64-4C90-9EAC-4D48FBAFAC8B.png"
"Cybergoth",0.0019723865877712,"https://aesthetics.fandom.com/wiki/Cybergoth",93,"https://static.wikia.nocookie.net/aesthetics/images/8/84/Bff286a5695fc4893403ec4abcd41bae.jpg"
"Milk",0.00196081446850394,"https://aesthetics.fandom.com/wiki/Milk",94,"https://static.wikia.nocookie.net/aesthetics/images/e/ee/Milk-bottle-pink-white.jpg"
"Tomboy",0.00193423597678917,"https://aesthetics.fandom.com/wiki/Tomboy",95,"https://static.wikia.nocookie.net/aesthetics/images/9/97/9k%3D%28%28.jpeg"
"Peach",0.00192348862733754,"https://aesthetics.fandom.com/wiki/Peach",96,"https://static.wikia.nocookie.net/aesthetics/images/8/88/%D0%97%D0%B0%D0%B3%D1%80%D1%83%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5.jpg"
"Anglocore",0.00185680872237032,"https://aesthetics.fandom.com/wiki/Anglocore",97,"https://static.wikia.nocookie.net/aesthetics/images/e/e9/Anglocore.jpg"
"Fairycore",0.00178247007565794,"https://aesthetics.fandom.com/wiki/Fairycore",98,"https://static.wikia.nocookie.net/aesthetics/images/2/2b/1636734298-fairy-grunge-aesthetic-instagram.jpg"
"Otaku",0.00169491525423729,"https://aesthetics.fandom.com/wiki/Otaku",99,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"Cottagegore",0.00165477280365975,"https://aesthetics.fandom.com/wiki/Cottagegore",100,"https://static.wikia.nocookie.net/aesthetics/images/e/e6/CCB6531B-1AAF-403B-84D3-E6C6939F85A2.jpeg"
"Summer",0.00154503044078682,"https://aesthetics.fandom.com/wiki/Summer",101,"https://static.wikia.nocookie.net/aesthetics/images/9/98/Summer2.jpg"
"Cottagecore",0.00143998602130737,"https://aesthetics.fandom.com/wiki/Cottagecore",102,"https://static.wikia.nocookie.net/aesthetics/images/b/b7/Farmcore.jpg"
