"","aesthetic","etsy_results","date"
"1","1950s Suburbia",NA,"2023-03-28"
"2","2-Tone",8,"2023-03-28"
"3","2000s Autumn",1,"2023-03-28"
"4","2014-era tumblr",NA,"2023-03-28"
"5","2014 Girly Tumblr",NA,"2023-03-28"
"6","2020 Alt",121,"2023-03-28"
"7","2K Animecore",7,"2023-03-28"
"8","2K1",NA,"2023-03-28"
"9","2K7",NA,"2023-03-28"
"10","80s Ballroom",NA,"2023-03-28"
"11","Abstract Tech",580,"2023-03-28"
"12","Acid Pixie",NA,"2023-03-28"
"13","Acidwave",NA,"2023-03-28"
"14","Acubi",4,"2023-03-28"
"15","Adventurecore",14,"2023-03-28"
"16","Adventure Pulp",NA,"2023-03-28"
"17","Aetherpunk",NA,"2023-03-28"
"18","Afrofuturism",2,"2023-03-28"
"19","Afro-Victorian",NA,"2023-03-28"
"20","After Hours",108,"2023-03-28"
"21","Agropeople",NA,"2023-03-28"
"22","Ah Beng",NA,"2023-03-28"
"23","Alien",653,"2023-03-28"
"24","Alternative",1579,"2023-03-28"
"25","Americana",166,"2023-03-28"
"26","American Pioneers",NA,"2023-03-28"
"27","American Revolution",3,"2023-03-28"
"28","American Thanksgiving",73,"2023-03-28"
"29","American Tourist Traps",NA,"2023-03-28"
"30","Analog Horror",NA,"2023-03-28"
"31","Ancient Egypt",190,"2023-03-28"
"32","Androgynous",20,"2023-03-28"
"33","Angelcore",137,"2023-03-28"
"34","Anglocore",NA,"2023-03-28"
"35","Anglo Gothic",NA,"2023-03-28"
"36","Angura",NA,"2023-03-28"
"37","Animecore",15,"2023-03-28"
"38","Anti-Fashion",NA,"2023-03-28"
"39","Antique Grunge",47,"2023-03-28"
"40","Arcade",279,"2023-03-28"
"41","Arcadecore",NA,"2023-03-28"
"42","Art Academia",7887,"2023-03-28"
"43","Art Deco",26679,"2023-03-28"
"44","Art Hoe",71,"2023-03-28"
"45","Art Nouveau",3305,"2023-03-28"
"46","Arts and Crafts Movement",67,"2023-03-28"
"47","Asian Baby Girl",8,"2023-03-28"
"48","Athlete",81,"2023-03-28"
"49","Atompunk",2,"2023-03-28"
"50","Auroracore",NA,"2023-03-28"
"51","Australiana",3,"2023-03-28"
"52","Australian Outback",3,"2023-03-28"
"53","Autumn",NA,"2023-03-28"
"54","Autumn Academia",231,"2023-03-28"
"55","Avant Apocalypse",NA,"2023-03-28"
"56","Avant-garde",120,"2023-03-28"
"57","Babycore",3,"2023-03-28"
"58","Babygirl",17,"2023-03-28"
"59","Back-to-School",9,"2023-03-28"
"60","Baddie",423,"2023-03-28"
"61","Ballet Academia",12,"2023-03-28"
"62","Balletcore",58,"2023-03-28"
"63","Baltic Violence Tumblr",NA,"2023-03-28"
"64","Barbiecore",95,"2023-03-28"
"65","Bardcore",1,"2023-03-28"
"66","Baroque",692,"2023-03-28"
"67","Bastardcore",NA,"2023-03-28"
"68","Bauhaus",1787,"2023-03-28"
"69","BDSM",127,"2023-03-28"
"70","Beach Bunny",16,"2023-03-28"
"71","Beach Day",1106,"2023-03-28"
"72","Beatnik",2,"2023-03-28"
"73","Biker",229,"2023-03-28"
"74","Bimbocore",5,"2023-03-28"
"75","Biopunk",NA,"2023-03-28"
"76","Bizarro Fiction",NA,"2023-03-28"
"77","Black-Holed Meme",NA,"2023-03-28"
"78","Bloomcore",42,"2023-03-28"
"79","Bodikon",NA,"2023-03-28"
"80","Bohemian",37369,"2023-03-28"
"81","Bombacore",NA,"2023-03-28"
"82","Bookstore Girl",10,"2023-03-28"
"83","Bosozoku",4,"2023-03-28"
"84","Boujee",1006,"2023-03-28"
"85","Breakcore",1,"2023-03-28"
"86","Britpop",46,"2023-03-28"
"87","Bro",65,"2023-03-28"
"88","Bronzepunk",NA,"2023-03-28"
"89","Bubble Bujo",3,"2023-03-28"
"90","Bubble Goth",15,"2023-03-28"
"91","Bubblegum Bitch",3,"2023-03-28"
"92","Bubblegum Witch",8,"2023-03-28"
"93","Cabincore",84,"2023-03-28"
"94","Cagole",NA,"2023-03-28"
"95","Camp",723,"2023-03-28"
"96","Campcore",NA,"2023-03-28"
"97","Cargopunk",NA,"2023-03-28"
"98","Carnivalcore",1,"2023-03-28"
"99","Cartelcore",NA,"2023-03-28"
"100","Cartooncore",1,"2023-03-28"
