"","aesthetic","etsy_results","date"
"1","80s heart-throb",NA,"2023-06-16"
"2","1950s Suburbia",NA,"2023-06-16"
"3","2000s Autumn",1,"2023-06-16"
"4","2010s Internet",NA,"2023-06-16"
"5","2014-era tumblr",NA,"2023-06-16"
"6","2014 Girly",1,"2023-06-16"
"7","2020 Alt",142,"2023-06-16"
"8","2K1",NA,"2023-06-16"
"9","2K7",NA,"2023-06-16"
"10","2 Tone",705,"2023-06-16"
"11","80s Ballroom",NA,"2023-06-16"
"12","Abstract Tech",1146,"2023-06-16"
"13","Acid Pixie",NA,"2023-06-16"
"14","Acidwave",NA,"2023-06-16"
"15","Acubi",6,"2023-06-16"
"16","Adventure Pulp",1,"2023-06-16"
"17","Adventurecore",14,"2023-06-16"
"18","Aetherpunk",NA,"2023-06-16"
"19","Afro-Victorian",NA,"2023-06-16"
"20","Afrofuturism",6,"2023-06-16"
"21","After Hours",100,"2023-06-16"
"22","Agropeople",NA,"2023-06-16"
"23","Ah Beng",NA,"2023-06-16"
"24","Alien",765,"2023-06-16"
"25","Alternative",1716,"2023-06-16"
"26","Amateur Photography",NA,"2023-06-16"
"27","American Pioneers",NA,"2023-06-16"
"28","American Revolution",3,"2023-06-16"
"29","American Thanksgiving",69,"2023-06-16"
"30","American Tourist Traps",NA,"2023-06-16"
"31","Americana",180,"2023-06-16"
"32","Analog Horror",NA,"2023-06-16"
"33","Ancient Egypt",192,"2023-06-16"
"34","Androgynous",27,"2023-06-16"
"35","Angelcore",163,"2023-06-16"
"36","Anglo Gothic",NA,"2023-06-16"
"37","Anglocore",NA,"2023-06-16"
"38","Angura",NA,"2023-06-16"
"39","Animecore",17,"2023-06-16"
"40","Anoncore",NA,"2023-06-16"
"41","Anti-Fashion",NA,"2023-06-16"
"42","Antique Grunge",53,"2023-06-16"
"43","Arabfunny",NA,"2023-06-16"
"44","Arcade",359,"2023-06-16"
"45","Arcadecore",NA,"2023-06-16"
"46","Art Academia",10967,"2023-06-16"
"47","Art Deco",27422,"2023-06-16"
"48","Art Hoe",115,"2023-06-16"
"49","Art Nouveau",3937,"2023-06-16"
"50","Artcore",4,"2023-06-16"
"51","Artificial Nature",7,"2023-06-16"
"52","Arts and Crafts Movement",63,"2023-06-16"
"53","Asian Baby Girl",11,"2023-06-16"
"54","Athlete",87,"2023-06-16"
"55","Atompunk",2,"2023-06-16"
"56","Auroracore",NA,"2023-06-16"
"57","Australian Outback",4,"2023-06-16"
"58","Australiana",4,"2023-06-16"
"59","Autumn",5585,"2023-06-16"
"60","Autumn Academia",305,"2023-06-16"
"61","Avant-garde",114,"2023-06-16"
"62","Avant Apocalypse",NA,"2023-06-16"
"63","Azure",53,"2023-06-16"
"64","B-Movie Horror",3,"2023-06-16"
"65","BDSM",130,"2023-06-16"
"66","Babycore",4,"2023-06-16"
"67","Babygirl",23,"2023-06-16"
"68","Back-to-School",18,"2023-06-16"
"69","Baddie",509,"2023-06-16"
"70","Baidexweb",NA,"2023-06-16"
"71","Bakala",NA,"2023-06-16"
"72","Ballet Academia",22,"2023-06-16"
"73","Balletcore",53,"2023-06-16"
"74","Baltic Violence Tumblr",NA,"2023-06-16"
"75","Barbiecore",136,"2023-06-16"
"76","Bardcore",NA,"2023-06-16"
"77","Baroque",878,"2023-06-16"
"78","Bastardcore",NA,"2023-06-16"
"79","Bauhaus",2057,"2023-06-16"
"80","Beach Bunny",15,"2023-06-16"
"81","Beach Day",1748,"2023-06-16"
"82","Beach girl",1856,"2023-06-16"
"83","Beatnik",3,"2023-06-16"
"84","Biker",441,"2023-06-16"
"85","Bimbocore",12,"2023-06-16"
"86","Biopunk",2,"2023-06-16"
"87","Bizarro Fiction",NA,"2023-06-16"
"88","Black-Holed Meme",NA,"2023-06-16"
"89","Black Metal",2722,"2023-06-16"
"90","Bleak Crush",NA,"2023-06-16"
"91","Blokecore",NA,"2023-06-16"
"92","Blokette",NA,"2023-06-16"
"93","Bloomcore",60,"2023-06-16"
"94","Blue Night",1373,"2023-06-16"
"95","Bodikon",NA,"2023-06-16"
"96","Bohemian",42395,"2023-06-16"
"97","Bombacore",NA,"2023-06-16"
"98","Bookstore Girl",10,"2023-06-16"
"99","Bosozoku",4,"2023-06-16"
"100","Boujee",1049,"2023-06-16"
