"aesthetic","max_date","col_group"
"Gurokawa",10,"mid"
"Sparklecore",10,"pos"
"Villaincore",10,"pos"
"Americana",9,"neg"
"Historical Americana",9,"neg"
"Nerdcore",9,"neg"
"Rivethead",9,"pos"
"Trashcore",9,"neg"
"Yandere",9,"neg"
"Eshay",9,NA
"Mind Murder",9,NA
"Morute",8,"pos"
"Mosscore",8,"pos"
"Technical Scene",8,"pos"
"Scene",8,"pos"
"Sloanie",8,NA
"English Major",7,"mid"
"Holosexual",7,"mid"
"Roaring 20s",7,"mid"
"Solarpunk",7,"neg"
"Tweencore",7,"mid"
"Campcore",6,"neg"
"Skinheads",6,"mid"
"Vacation Dadcore",6,"neg"
"Wabi-Sabi",6,"neg"
"Bauhaus",5,"neg"
"Shanzhai",5,"neg"
"Auroracore",4,"mid"
"Bubblegum Bitch",4,"pos"
"Cholo",4,"neg"
"Concore",4,"neg"
"Cubism",4,"mid"
"Decopunk",4,"pos"
"Dracopunk",4,"pos"
"Dragoncore",4,"neg"
"Heatwave",4,"neg"
"Nuclear",4,"pos"
"Pink Parisian",4,"mid"
"Rollerwave",4,"pos"
"Teethcore",4,"pos"
"Voidcore",4,"pos"
"Cargopunk",4,"mid"
"Cryptidcore",4,"neg"
"Smilecore",4,NA
"Acidwave",3,"mid"
"Bodikon",3,"mid"
"Breakcore",3,"mid"
"Cyberpop",3,"pos"
"Dazecore",3,"pos"
"Gopnik",3,"mid"
"Hellenic",3,"pos"
"Hydrogen",3,"mid"
"Junglecore",3,"mid"
"Scrapper",3,"pos"
"Studyplace",3,"mid"
"Technocore",3,"pos"
"Twee",3,"mid"
"Unicorncore",3,"mid"
"Camp",3,"neg"
"Cartooncore",3,"pos"
"Juggalo",3,"pos"
"Autumn",2,"mid"
"Constructivism",2,"neg"
"Cyberdelic",2,"mid"
"Desertwave",2,"mid"
"Dieselpunk",2,"pos"
"Heistcore",2,"neg"
"Hikecore",2,"mid"
"Indie",2,"pos"
"Indie Sleaze",2,"pos"
"Labcore",2,"pos"
"Lightcore",2,"mid"
"Mad Scientist",2,"mid"
"Medicalcore",2,"mid"
"Mythpunk",2,"pos"
"Paleocore",2,"mid"
"Palewave",2,"mid"
"Post-Impressionism",2,"mid"
"Rusticcore",2,"pos"
"Traumacore",2,"neg"
"Bastardcore",2,"pos"
"Plaguecore",2,"pos"
"Snowdrop",2,"pos"
"Virgos Tears",2,NA
"Afro-Victorian",1,"pos"
"Atompunk",1,"pos"
"Bardcore",1,"mid"
"Bronzepunk",1,"mid"
"Chav",1,"mid"
"Christcore",1,"mid"
"Cyberprep",1,"pos"
"Danish Pastel",1,"pos"
"Daydreampunk",1,"mid"
"Dionysism",1,"neg"
"Fanfare",1,"mid"
"Hackercore",1,"mid"
"Hallyu",1,"mid"
"Italo Disco",1,"neg"
"Joyride",1,"mid"
"Metal",1,"mid"
"Neo-Tokyo",1,"mid"
"Pachuco",1,"mid"
"Racaille",1,"pos"
"Ratcore",1,"mid"
"Salvagepunk",1,"pos"
"Slutcore",1,"pos"
"Southern Belle",1,"mid"
"Stilyagi",1,"pos"
"Stonepunk",1,"mid"
"Suprematism",1,"mid"
"Yanki",1,"pos"
"Nerd",1,"mid"
"Pre-Raphaelite",1,"neg"
"70s Disco",1,NA
"Doodlecore",1,NA
"Nanchatte Seifuku",1,NA
"Rocketpunk",1,NA
"Skeuomorphism",1,NA
"Zombiecore",1,NA
"Mizuiro",1,NA
"2014 Girly Tumblr",0,NA
"2K Animecore",0,NA
"Abstract Tech",0,NA
"Adventure Pulp",0,NA
"Analog Horror",0,NA
"American Revolution",0,NA
"American Thanksgiving",0,NA
"Anemoiacore",0,NA
"Anglo Gothic",0,NA
"Animecore",0,NA
"Arcade",0,NA
"Arts and Crafts Movement",0,NA
"Art Deco",0,NA
"Art Nouveau",0,NA
"Autumn Academia",0,NA
"Avant Apocalypse",0,NA
"Baltic Violence Tumblr",0,NA
"Beach Bunny",0,NA
"Beach Day",0,NA
"Black-Holed Meme",0,NA
"Bookstore Girl",0,NA
"Bosozoku",0,"neg"
"Bubblegum Witch",0,NA
"Carnivalcore",0,NA
"Cartelcore",0,NA
"Cassette Futurism",0,NA
"Changelingcore",0,NA
"Cheiron Crush",0,NA
"Cherry Emoji Twitter",0,NA
"City Pop",0,NA
"Classic Lolita",0,NA
"Classicism",0,"neg"
"Clockpunk",0,NA
"Club Kids",0,NA
"Common White Girl",0,NA
"Corporate",0,NA
"Corporate Memphis",0,NA
"Corporate Punk",0,NA
"Coquette Academia",0,NA
"Cozy Childhood Hideaway",0,NA
"Cripplepunk",0,NA
"Cuddle Party",0,NA
"Cultcore",0,NA
"Cult Party Kei",0,NA
"Dark Academia",0,NA
"Dark Fantasy",0,NA
"Dark Naturalism",0,NA
"Dark Nautical",0,NA
"Dark Nymphet",0,NA
"Dark Paradise",0,NA
"De Stijl",0,NA
"Desi Romantic Academia",0,NA
"Dethereal",0,NA
"Dolly Kei",0,NA
"Downtown Girl",0,NA
"Dual Kawaii",0,NA
"Dungeon Synth",0,NA
"Electro Swing",0,NA
"Erokawa",0,NA
"Ethereal",0,NA
"Europunk",0,NA
"Fairy Grunge",0,NA
"Fairy Kei",0,NA
"Fairy Tale",0,NA
"Fashwave",0,NA
"Femcel Weeaboo",0,NA
"Flat Design",0,NA
"Folk Punk",0,NA
"French Girl",0,NA
"Frutiger Aero",0,"neg"
"Futurism",0,NA
"Gadgetpunk",0,NA
"Game Night",0,NA
"Gamercore",0,NA
"Gen X Soft Club",0,NA
"Glam Rock",0,NA
"Glowwave",0,NA
"Golden Age of Detective Fiction",0,NA
"Golden Hour",0,NA
"Gothic",0,NA
"Gothic Lolita",0,NA
"Grindhouse",0,NA
"Grunge",0,NA
"Hatecore",0,NA
"Hauntology",0,NA
"Haussmann Paris",0,NA
"Health Goth",0,NA
"Hermaphroditus",0,NA
"Hermitpunk",0,NA
"Hexatron",0,NA
"Hi-NRG",0,NA
"High School Dream",0,NA
"Hime Lolita",0,NA
"Horror",0,NA
"Horror Academia",0,NA
"Hot Topic",0,NA
"Icepunk",0,"neg"
"Imaginarium",0,NA
"Indie Kid",0,NA
"Indicolite",0,NA
"Internet Academia",0,NA
"Italian Mafia",0,NA
"Italian Renaissance",0,NA
"Jungle Grunge",0,NA
"Karasu Zoku",0,NA
"Kawaii",0,NA
"Kawaii Gamer",0,NA
"Key West Kitten",0,NA
"Kid Science",0,NA
"Kimoicore",0,NA
"King Gas",0,NA
"La Sape",0,NA
"Laborwave",0,NA
"Larme Kei",0,NA
"Late 2000s Elementary School",0,NA
"Libertywave",0,"neg"
"Light Academia",0,NA
