"aesthetic","aes_link"
"80s heart-throb","https://aesthetics.fandom.com/wiki/%2780s_heart-throb"
"1950s Suburbia","https://aesthetics.fandom.com/wiki/1950s_Suburbia"
"2000s Autumn","https://aesthetics.fandom.com/wiki/2000%27s_Autumn"
"2010s Internet","https://aesthetics.fandom.com/wiki/2010s_Internet"
"2014 Tumblr","https://aesthetics.fandom.com/wiki/2014_Tumblr"
"2014 Girly","https://aesthetics.fandom.com/wiki/2014_Girly"
"2020 Alt","https://aesthetics.fandom.com/wiki/2020_Alt"
"2K1","https://aesthetics.fandom.com/wiki/2K1"
"2K7","https://aesthetics.fandom.com/wiki/2K7"
"2 Tone","https://aesthetics.fandom.com/wiki/2_Tone"
"80s Ballroom","https://aesthetics.fandom.com/wiki/80s_Ballroom"
"Abstract Tech","https://aesthetics.fandom.com/wiki/Abstract_Tech"
"Acid Pixie","https://aesthetics.fandom.com/wiki/Acid_Pixie"
"Acidwave","https://aesthetics.fandom.com/wiki/Acidwave"
"Acubi","https://aesthetics.fandom.com/wiki/Acubi"
"Adventure Pulp","https://aesthetics.fandom.com/wiki/Adventure_Pulp"
"Adventurecore","https://aesthetics.fandom.com/wiki/Adventurecore"
"Aetherpunk","https://aesthetics.fandom.com/wiki/Aetherpunk"
"Afro-Victorian","https://aesthetics.fandom.com/wiki/Afro-Victorian"
"Afrofuturism","https://aesthetics.fandom.com/wiki/Afrofuturism"
"After Hours","https://aesthetics.fandom.com/wiki/After_Hours"
"Agropeople","https://aesthetics.fandom.com/wiki/Agropeople"
"Ah Beng","https://aesthetics.fandom.com/wiki/Ah_Beng"
"Alien","https://aesthetics.fandom.com/wiki/Alien"
"Alternative","https://aesthetics.fandom.com/wiki/Alternative"
"Amateur Photography","https://aesthetics.fandom.com/wiki/Amateur_Photography"
"American Pioneers","https://aesthetics.fandom.com/wiki/American_Pioneers"
"American Revolution","https://aesthetics.fandom.com/wiki/American_Revolution"
"American Thanksgiving","https://aesthetics.fandom.com/wiki/American_Thanksgiving"
"American Tourist Traps","https://aesthetics.fandom.com/wiki/American_Tourist_Traps"
"Americana","https://aesthetics.fandom.com/wiki/Americana"
"Analog Horror","https://aesthetics.fandom.com/wiki/Analog_Horror"
"Ancient Egypt","https://aesthetics.fandom.com/wiki/Ancient_Egypt"
"Androgynous","https://aesthetics.fandom.com/wiki/Androgynous"
"Angelcore","https://aesthetics.fandom.com/wiki/Angelcore"
"Anglo Gothic","https://aesthetics.fandom.com/wiki/Anglo_Gothic"
"Anglocore","https://aesthetics.fandom.com/wiki/Anglocore"
"Angura","https://aesthetics.fandom.com/wiki/Angura"
"Animecore","https://aesthetics.fandom.com/wiki/Animecore"
"Anoncore","https://aesthetics.fandom.com/wiki/Anoncore"
"Anti-Fashion","https://aesthetics.fandom.com/wiki/Anti-Fashion"
"Antique Grunge","https://aesthetics.fandom.com/wiki/Antique_Grunge"
"Arabfunny","https://aesthetics.fandom.com/wiki/Arabfunny"
"Arcade","https://aesthetics.fandom.com/wiki/Arcade"
"Arcadecore","https://aesthetics.fandom.com/wiki/Arcadecore"
"Art Academia","https://aesthetics.fandom.com/wiki/Art_Academia"
"Art Deco","https://aesthetics.fandom.com/wiki/Art_Deco"
"Art Hoe","https://aesthetics.fandom.com/wiki/Art_Hoe"
"Art Nouveau","https://aesthetics.fandom.com/wiki/Art_Nouveau"
"Artcore","https://aesthetics.fandom.com/wiki/Artcore"
"Artificial Nature","https://aesthetics.fandom.com/wiki/Artificial_Nature"
"Arts and Crafts Movement","https://aesthetics.fandom.com/wiki/Arts_and_Crafts_Movement"
"Asian Baby Girl","https://aesthetics.fandom.com/wiki/Asian_Baby_Girl"
"Athlete","https://aesthetics.fandom.com/wiki/Athlete"
"Atompunk","https://aesthetics.fandom.com/wiki/Atompunk"
"Auroracore","https://aesthetics.fandom.com/wiki/Auroracore"
"Australian Outback","https://aesthetics.fandom.com/wiki/Australian_Outback"
